ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,URBANICITY,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,CLAIM_FLAG,CLM_AMT
77382913,0,22-Nov-64,34,0,10,"$62,978 ",No,$0 ,No,F,Bachelors,Clerical,Highly Urban/ Urban,34,Private,"$11,200 ",1,SUV,$0 ,0,No,0,1,1,"$2,501 "
856886560,0,22-Oct-49,50,0,7,"$106,952 ",No,$0 ,No,M,Bachelors,Professional,Highly Rural/ Rural,48,Commercial,"$18,510 ",7,Van,$0 ,0,No,1,17,0,$0 
308455362,0,25-Dec-45,53,0,14,"$77,100 ",No,$0 ,No,F,Masters,Lawyer,Highly Urban/ Urban,15,Private,"$18,300 ",1,Sports Car,$0 ,0,No,0,11,1,"$6,077 "
989828809,0,19-Jun-56,43,0,5,"$52,642 ",No,"$209,970 ",Yes,F,Masters,Professional,Highly Rural/ Rural,36,Private,"$22,420 ",7,Minivan,$0 ,0,No,0,1,0,$0 
376482434,0,3-Mar-44,55,0,11,"$59,162 ",No,"$180,232 ",Yes,M,Bachelors,Manager,Highly Urban/ Urban,25,Commercial,"$17,600 ",7,Van,"$5,028 ",2,Yes,3,9,0,$0 
665591504,0,19-Jul-46,53,0,11,"$130,795 ",No,$0 ,No,M,PhD,,Highly Urban/ Urban,64,Commercial,"$28,340 ",6,Panel Truck,$0 ,0,No,3,10,1,"$1,267 "
713692930,0,17-Aug-64,35,2,,"$21,204 ",Yes,$0 ,No,M,High School,Clerical,Highly Rural/ Rural,74,Private,"$9,230 ",6,Pickup,$0 ,0,Yes,0,4,0,$0 
588888550,0,17-Jan-54,45,0,0,$0 ,No,"$106,859 ",Yes,F,<High School,Home Maker,Highly Urban/ Urban,48,Private,"$6,000 ",1,SUV,$0 ,0,No,3,5,1,"$2,920 "
140015922,0,6-Aug-60,39,3,12,"$51,884 ",Yes,"$180,951 ",No,F,Bachelors,Clerical,Highly Rural/ Rural,43,Private,"$10,590 ",6,SUV,$0 ,0,No,0,13,0,$0 
162166370,0,19-Apr-40,59,0,12,"$87,460 ",No,$0 ,No,M,High School,Manager,Highly Urban/ Urban,45,Private,"$15,420 ",1,Minivan,"$44,857 ",2,No,4,1,1,"$4,111 "
884513944,0,20-Dec-56,42,0,11,"$59,945 ",No,"$192,207 ",Yes,M,Masters,Lawyer,Highly Urban/ Urban,42,Private,"$14,190 ",6,Minivan,$0 ,0,No,0,16,0,$0 
627708979,0,14-Sep-65,34,3,13,"$34,019 ",No,"$91,875 ",Yes,F,Masters,Lawyer,Highly Urban/ Urban,27,Private,"$8,300 ",7,SUV,$0 ,0,No,0,20,0,$0 
116375554,0,6-Oct-68,31,2,12,"$18,903 ",No,"$93,797 ",Yes,F,<High School,Clerical,Highly Urban/ Urban,48,Private,"$17,330 ",4,Minivan,$0 ,0,No,0,7,0,$0 
235358484,0,22-Feb-71,28,1,13,"$44,077 ",No,"$170,598 ",Yes,F,High School,Blue Collar,Highly Urban/ Urban,29,Commercial,"$8,710 ",6,SUV,"$8,935 ",2,No,0,1,1,"$6,857 "
528040687,0,7-Feb-56,43,0,13,"$37,214 ",No,,Yes,M,<High School,Blue Collar,Highly Urban/ Urban,52,Commercial,"$26,560 ",1,Panel Truck,$0 ,0,No,3,1,1,"$3,627 "
652572577,0,16-Dec-50,48,0,14,"$96,274 ",No,"$282,904 ",Yes,F,Masters,Lawyer,Highly Urban/ Urban,36,Private,"$11,130 ",6,SUV,"$8,250 ",1,No,5,14,0,$0 
410873772,0,24-Jul-52,47,0,11,"$46,281 ",No,$0 ,No,F,<High School,Blue Collar,Highly Urban/ Urban,29,Private,"$19,700 ",10,Minivan,$0 ,0,No,1,5,0,$0 
254362485,2,6-Jul-55,44,2,0,$0 ,No,"$82,344 ",Yes,F,High School,Home Maker,Highly Urban/ Urban,8,Private,"$5,900 ",6,SUV,"$3,338 ",3,No,0,11,0,$0 
69165559,0,14-Apr-53,46,0,14,,No,"$207,519 ",Yes,M,Bachelors,Professional,Highly Urban/ Urban,7,Commercial,"$25,660 ",1,Panel Truck,"$2,119 ",1,No,2,12,0,$0 
201327208,0,14-Dec-38,60,0,12,"$37,940 ",No,"$182,739 ",Yes,F,High School,Blue Collar,Highly Urban/ Urban,16,Commercial,"$11,290 ",1,Sports Car,$0 ,0,No,0,1,1,"$5,247 "
573751437,0,14-Dec-65,33,1,13,"$79,606 ",No,"$225,962 ",Yes,F,Bachelors,Professional,Highly Rural/ Rural,27,Private,"$16,830 ",9,SUV,$0 ,0,No,2,15,0,$0 
483050926,0,17-Apr-67,32,1,9,"$31,275 ",No,"$118,160 ",Yes,F,High School,Clerical,Highly Urban/ Urban,26,Private,"$10,030 ",1,SUV,$0 ,0,No,0,1,1,"$4,486 "
146989842,1,9-Apr-55,44,2,17,"$45,488 ",No,"$219,378 ",Yes,M,Bachelors,Manager,Highly Urban/ Urban,16,Private,"$22,090 ",17,Minivan,$0 ,0,No,0,12,0,$0 
742435591,0,5-Apr-64,35,0,8,"$72,193 ",No,$0 ,No,F,Bachelors,Clerical,Highly Urban/ Urban,26,Private,"$12,220 ",6,SUV,$0 ,0,No,3,12,0,$0 
915517588,0,6-May-59,40,2,0,,No,"$98,777 ",Yes,F,Masters,Home Maker,Highly Rural/ Rural,15,Private,"$14,130 ",6,SUV,"$38,127 ",2,Yes,4,12,0,$0 
756785495,0,15-May-45,54,0,12,"$33,212 ",No,"$158,432 ",Yes,M,<High School,Blue Collar,Highly Urban/ Urban,27,Commercial,"$24,000 ",4,Panel Truck,$0 ,0,No,5,,1,"$4,901 "
66662029,0,14-Feb-50,49,0,5,"$49,244 ",No,"$163,444 ",Yes,M,Bachelors,Clerical,Highly Urban/ Urban,30,Private,"$15,880 ",1,Minivan,$0 ,0,No,1,1,0,$0 
294816298,2,3-Aug-63,36,2,12,"$130,540 ",Yes,"$344,195 ",No,F,Bachelors,Blue Collar,Highly Rural/ Rural,5,Commercial,"$27,200 ",4,Minivan,$0 ,0,No,0,9,0,$0 
686791659,0,7-May-47,52,0,8,"$51,278 ",No,"$230,340 ",Yes,F,Bachelors,Professional,Highly Urban/ Urban,37,Private,"$1,500 ",4,SUV,$0 ,0,No,1,10,0,$0 
269341556,0,28-Sep-58,41,0,7,"$92,842 ",No,"$286,113 ",No,M,Masters,,Highly Urban/ Urban,12,Commercial,"$25,810 ",6,Panel Truck,"$1,431 ",2,No,5,15,0,$0 
396972296,0,26-Jul-60,39,0,10,"$35,081 ",No,"$202,839 ",Yes,M,Bachelors,Blue Collar,Highly Urban/ Urban,38,Commercial,"$16,640 ",4,Van,$0 ,0,No,0,13,0,$0 
364483168,0,9-Apr-43,56,0,0,$0 ,No,"$63,827 ",Yes,F,PhD,Home Maker,Highly Rural/ Rural,65,Private,"$13,220 ",1,Minivan,$0 ,0,No,0,12,0,$0 
866093378,0,7-Mar-50,49,0,12,"$115,044 ",No,"$311,980 ",No,F,PhD,Doctor,Highly Urban/ Urban,18,Private,"$17,900 ",1,Minivan,$0 ,0,No,0,14,0,$0 
515421877,0,30-May-61,38,0,11,"$37,754 ",No,"$138,823 ",Yes,F,High School,Clerical,Highly Rural/ Rural,47,Private,"$12,080 ",1,SUV,$0 ,0,No,2,9,0,$0 
173737852,0,1-Jun-56,43,2,17,"$145,353 ",No,"$418,785 ",Yes,F,Masters,,Highly Urban/ Urban,38,Commercial,"$29,450 ",6,Van,$0 ,0,No,0,15,0,$0 
745183922,0,30-Jun-49,50,0,8,"$167,469 ",No,$0 ,No,F,PhD,Doctor,Highly Urban/ Urban,22,Private,"$34,150 ",4,Sports Car,$0 ,0,No,3,1,0,$0 
298271736,0,4-Nov-36,63,0,15,"$121,398 ",No,"$343,410 ",Yes,F,PhD,Doctor,Highly Urban/ Urban,10,Private,"$16,270 ",1,SUV,$0 ,0,No,0,11,0,$0 
70821537,0,12-Aug-47,52,0,0,$0 ,No,"$87,925 ",No,F,High School,Student,Highly Rural/ Rural,48,Commercial,"$9,280 ",1,SUV,$0 ,0,No,1,6,0,$0 
258951025,0,24-Oct-64,35,0,7,"$14,508 ",No,$0 ,Yes,M,Bachelors,Student,Highly Urban/ Urban,22,Commercial,"$6,450 ",1,Pickup,$0 ,0,No,0,7,0,$0 
807174588,0,16-Nov-56,43,0,13,"$75,338 ",No,"$270,555 ",Yes,F,Bachelors,Manager,Highly Urban/ Urban,40,Private,"$23,080 ",1,Sports Car,$0 ,0,No,0,8,0,$0 
514538041,0,6-Oct-58,41,0,10,"$32,774 ",No,$0 ,No,F,High School,Clerical,Highly Rural/ Rural,44,Private,"$20,120 ",4,Minivan,$0 ,0,No,0,1,0,$0 
25561360,0,8-Apr-59,40,0,11,"$57,474 ",No,"$186,418 ",Yes,M,Bachelors,Clerical,Highly Urban/ Urban,5,Commercial,"$29,270 ",4,Panel Truck,$0 ,0,No,1,5,0,$0 
753037176,0,7-Aug-68,31,1,12,"$26,520 ",No,"$154,493 ",Yes,M,Bachelors,Student,Highly Urban/ Urban,62,Commercial,"$4,600 ",6,Minivan,$0 ,0,No,2,5,0,$0 
883748009,0,27-Oct-52,47,0,8,"$18,444 ",No,$0 ,Yes,F,High School,Student,Highly Urban/ Urban,35,Commercial,"$19,450 ",6,SUV,"$2,981 ",2,No,5,,0,$0 
31827166,0,6-Jan-46,53,0,,"$107,259 ",No,"$343,700 ",Yes,M,Masters,Professional,Highly Urban/ Urban,36,Private,"$29,230 ",10,Minivan,$0 ,0,No,0,15,0,$0 
680782638,0,5-Jun-60,39,3,7,"$34,046 ",No,"$183,383 ",Yes,F,High School,Clerical,Highly Rural/ Rural,33,Private,"$4,040 ",6,SUV,$0 ,0,No,0,5,0,$0 
883604551,0,20-May-66,33,3,14,"$32,364 ",No,"$152,894 ",Yes,M,<High School,Clerical,Highly Urban/ Urban,40,Private,"$12,270 ",18,Minivan,$0 ,0,No,3,1,0,$0 
714473703,0,2-Jan-40,59,0,5,"$106,775 ",No,,No,M,Masters,Lawyer,Highly Urban/ Urban,10,Private,"$31,930 ",1,Minivan,$0 ,0,No,0,,0,$0 
213057541,0,29-Jan-57,42,0,,"$52,988 ",No,"$176,275 ",Yes,M,High School,Blue Collar,Highly Rural/ Rural,24,Commercial,"$23,450 ",1,Minivan,$0 ,0,No,2,11,0,$0 
885280620,0,26-Apr-59,40,0,11,"$16,989 ",No,$0 ,No,M,<High School,Blue Collar,Highly Urban/ Urban,20,Commercial,"$12,230 ",4,Pickup,"$26,104 ",1,Yes,13,6,1,"$6,100 "
931739722,0,15-Jul-58,41,2,7,"$17,755 ",Yes,"$148,815 ",No,F,<High School,Clerical,Highly Urban/ Urban,29,Private,"$14,480 ",1,Minivan,$0 ,0,Yes,2,1,0,$0 
939401184,1,20-Jan-62,37,2,13,,Yes,$0 ,No,F,High School,Blue Collar,Highly Urban/ Urban,62,Commercial,"$9,360 ",4,Sports Car,$0 ,0,No,0,,1,"$6,195 "
840809480,0,29-Jun-63,36,3,12,"$56,048 ",No,"$137,836 ",Yes,M,Masters,Lawyer,Highly Urban/ Urban,15,Private,"$10,700 ",6,Minivan,"$2,045 ",2,No,2,16,0,$0 
800426023,0,2-Dec-54,44,2,15,"$16,352 ",No,"$134,164 ",Yes,F,High School,Home Maker,Highly Urban/ Urban,37,Private,"$10,520 ",1,SUV,"$7,838 ",1,No,1,1,1,"$8,841 "
14827139,0,7-Feb-43,56,0,16,"$44,760 ",No,"$164,852 ",Yes,M,Bachelors,Manager,Highly Urban/ Urban,30,Private,"$21,770 ",13,Minivan,$0 ,0,No,0,6,0,$0 
212687745,1,30-Dec-53,45,1,14,"$63,952 ",No,"$196,368 ",Yes,F,Masters,Lawyer,Highly Urban/ Urban,50,Private,"$32,340 ",6,Van,"$27,877 ",2,Yes,0,13,1,"$2,117 "
224701093,0,16-Apr-65,34,3,12,"$22,510 ",No,"$123,888 ",Yes,M,High School,Clerical,Highly Rural/ Rural,26,Private,"$14,690 ",4,Minivan,$0 ,0,Yes,0,1,1,"$1,230 "
401200262,0,23-Sep-51,48,0,,,No,"$252,896 ",Yes,M,Bachelors,Professional,Highly Urban/ Urban,14,Commercial,"$28,560 ",13,Panel Truck,"$1,554 ",5,No,1,10,0,$0 
926073051,1,12-Oct-55,44,2,,"$24,060 ",Yes,$0 ,No,M,Bachelors,Clerical,Highly Urban/ Urban,24,Private,"$14,220 ",4,Minivan,$0 ,0,No,0,10,1,"$3,532 "
45830738,0,25-Jul-66,33,4,12,"$20,822 ",No,"$76,022 ",Yes,F,High School,Home Maker,Highly Urban/ Urban,46,Private,"$6,880 ",13,SUV,"$7,896 ",3,No,0,1,1,$866 
997497927,0,6-Dec-66,32,3,14,"$54,968 ",No,"$146,784 ",Yes,F,High School,Professional,Highly Urban/ Urban,20,Private,"$10,040 ",4,SUV,$0 ,0,Yes,0,8,0,$0 
862203239,0,20-Oct-65,34,0,8,"$14,194 ",No,"$87,034 ",No,F,<High School,Clerical,Highly Urban/ Urban,13,Private,"$2,920 ",4,Sports Car,"$24,767 ",3,Yes,2,10,1,"$7,786 "
116102677,1,6-Nov-61,38,4,12,"$2,149 ",No,"$72,889 ",Yes,F,<High School,Home Maker,Highly Urban/ Urban,35,Private,"$22,690 ",10,Pickup,$0 ,0,No,2,1,0,$0 
635101571,0,18-Feb-64,35,2,12,,Yes,$0 ,No,F,<High School,Blue Collar,Highly Urban/ Urban,43,Private,"$9,730 ",5,SUV,$0 ,0,No,4,4,1,"$5,426 "
793404097,2,2-Jan-55,44,2,14,"$45,576 ",No,"$156,623 ",Yes,F,<High School,Blue Collar,Highly Urban/ Urban,27,Private,"$1,500 ",4,Sports Car,"$25,276 ",1,No,8,,0,$0 
62434528,2,10-May-56,43,3,11,"$137,103 ",Yes,$0 ,No,F,Masters,Manager,Highly Urban/ Urban,29,Private,"$19,510 ",1,Sports Car,"$8,890 ",3,No,0,15,1,"$4,148 "
935079846,0,5-Sep-50,49,0,9,,No,$0 ,No,M,PhD,,Highly Urban/ Urban,31,Commercial,"$33,710 ",3,Panel Truck,"$34,351 ",2,Yes,2,18,0,$0 
948288985,0,25-Oct-53,46,0,10,"$79,538 ",No,$0 ,No,F,Bachelors,Manager,Highly Urban/ Urban,13,Private,"$14,050 ",3,Minivan,$0 ,0,Yes,2,11,0,$0 
396323054,0,3-Dec-53,45,1,11,"$185,836 ",No,"$509,115 ",Yes,F,PhD,Lawyer,Highly Urban/ Urban,28,Private,"$10,250 ",1,SUV,"$4,307 ",3,No,6,20,0,$0 
299024508,0,1-Jan-53,46,0,14,,No,"$397,661 ",No,M,Masters,,Highly Urban/ Urban,22,Commercial,"$33,320 ",4,Panel Truck,$0 ,0,Yes,1,12,0,$0 
39392545,0,8-Nov-54,45,0,11,"$61,931 ",No,"$213,530 ",Yes,M,Masters,,Highly Urban/ Urban,30,Commercial,"$10,910 ",13,Pickup,"$25,106 ",2,No,0,,0,$0 
536604822,0,23-Jul-51,48,0,9,"$61,509 ",No,"$195,438 ",Yes,M,Masters,,Highly Urban/ Urban,40,Commercial,"$23,230 ",6,Panel Truck,$0 ,0,No,1,17,0,$0 
429992959,0,16-Sep-36,63,0,9,"$74,426 ",No,$0 ,No,F,PhD,Doctor,Highly Urban/ Urban,11,Private,"$27,600 ",1,SUV,$0 ,0,No,0,18,0,$0 
160577728,0,18-Feb-55,44,0,9,"$74,722 ",No,"$231,034 ",Yes,F,Bachelors,Professional,Highly Urban/ Urban,9,Private,"$23,640 ",6,Minivan,$0 ,0,No,0,1,0,$0 
108385737,1,7-Mar-54,45,2,11,"$102,393 ",Yes,$0 ,No,M,Bachelors,Professional,Highly Urban/ Urban,25,Private,"$1,500 ",1,Minivan,$0 ,0,No,2,11,1,"$2,371 "
414142186,0,17-Sep-37,62,0,15,"$40,656 ",No,"$208,242 ",Yes,F,High School,Clerical,Highly Urban/ Urban,57,Private,"$9,170 ",4,Sports Car,"$42,342 ",2,Yes,2,7,1,"$4,178 "
421217157,0,24-Nov-50,48,0,0,$0 ,No,"$98,920 ",Yes,F,High School,Home Maker,Highly Urban/ Urban,50,Private,"$8,660 ",3,Sports Car,"$8,363 ",2,No,3,,0,$0 
935010485,1,10-Feb-62,37,2,12,,No,"$205,211 ",Yes,F,Bachelors,Blue Collar,Highly Urban/ Urban,43,Commercial,"$5,200 ",1,SUV,"$2,718 ",1,No,1,3,1,"$4,804 "
537840281,0,27-Aug-64,35,0,,"$29,371 ",No,$0 ,No,F,<High School,Clerical,Highly Urban/ Urban,49,Private,"$4,860 ",10,Sports Car,$0 ,0,No,0,1,0,$0 
748139140,0,13-Aug-51,48,0,12,"$31,773 ",No,"$165,090 ",Yes,M,High School,Clerical,Highly Urban/ Urban,14,Commercial,"$9,640 ",13,Pickup,"$1,212 ",1,No,4,1,1,"$1,354 "
601118153,0,26-Dec-59,39,0,11,"$33,727 ",No,$0 ,No,F,Bachelors,Clerical,Highly Urban/ Urban,27,Private,"$10,850 ",1,SUV,"$8,350 ",1,No,2,12,0,$0 
808304017,0,30-May-50,49,0,0,$0 ,No,"$159,389 ",Yes,F,Masters,Professional,Highly Urban/ Urban,42,Private,"$6,400 ",10,SUV,"$9,115 ",1,No,6,14,0,$0 
803325269,0,24-Jul-55,44,2,15,"$139,330 ",Yes,"$316,900 ",No,F,High School,Blue Collar,Highly Rural/ Rural,35,Commercial,"$22,050 ",10,Sports Car,$0 ,0,No,0,1,0,$0 
701235200,0,22-Dec-48,50,0,13,"$163,296 ",No,"$447,616 ",No,F,PhD,Lawyer,Highly Rural/ Rural,42,Private,"$22,830 ",1,Minivan,$0 ,0,No,0,14,0,$0 
916609661,0,3-Oct-69,30,1,10,"$17,455 ",Yes,"$140,978 ",No,F,<High School,Blue Collar,Highly Rural/ Rural,50,Private,"$12,380 ",13,Minivan,$0 ,0,No,0,6,0,$0 
469714824,0,3-Nov-45,54,0,,"$71,007 ",No,"$240,833 ",Yes,M,Bachelors,Manager,Highly Urban/ Urban,61,Private,"$14,000 ",6,Minivan,$0 ,0,No,0,11,0,$0 
46606719,0,6-Sep-61,38,0,0,$0 ,No,$0 ,Yes,M,High School,Student,Highly Rural/ Rural,41,Commercial,"$17,470 ",10,Van,"$3,157 ",2,No,5,6,0,$0 
454040458,0,9-Apr-46,53,0,6,"$38,036 ",No,"$153,381 ",Yes,F,High School,Blue Collar,Highly Urban/ Urban,32,Commercial,"$13,140 ",1,SUV,$0 ,0,No,4,1,1,"$2,425 "
951246359,0,30-Mar-46,53,0,13,"$41,199 ",No,"$150,933 ",No,F,Bachelors,Manager,Highly Urban/ Urban,21,Private,"$15,360 ",1,SUV,$0 ,0,No,0,8,0,$0 
389315422,0,28-Nov-69,29,1,10,"$38,042 ",Yes,"$202,967 ",No,M,High School,Professional,Highly Urban/ Urban,15,Private,"$15,160 ",6,Minivan,$0 ,0,No,0,1,0,$0 
180660768,0,20-Jan-41,58,0,11,"$91,223 ",No,$0 ,No,M,Masters,Lawyer,Highly Urban/ Urban,23,Private,"$10,620 ",6,Pickup,$0 ,0,No,0,,0,$0 
184578161,0,25-Jul-44,55,0,7,"$45,787 ",No,"$173,196 ",Yes,F,Masters,Lawyer,Highly Urban/ Urban,5,Private,"$19,380 ",6,Minivan,$0 ,0,No,0,13,0,$0 
59798468,0,17-Sep-44,55,0,,"$84,964 ",No,"$227,091 ",Yes,M,Bachelors,Blue Collar,Highly Urban/ Urban,21,Commercial,"$5,760 ",1,Pickup,$969 ,2,No,6,11,0,$0 
957817015,0,4-Nov-43,56,0,8,"$38,240 ",No,"$190,675 ",Yes,F,High School,Clerical,Highly Rural/ Rural,28,Private,"$16,220 ",4,SUV,$0 ,0,No,0,,0,$0 
402443529,0,20-Dec-59,39,2,0,$0 ,No,"$69,369 ",Yes,F,High School,Home Maker,Highly Urban/ Urban,36,Private,"$8,750 ",4,Sports Car,$0 ,0,No,0,8,0,$0 
298667574,2,26-Jun-55,44,2,13,"$142,588 ",No,"$365,256 ",Yes,M,Masters,Manager,Highly Urban/ Urban,28,Private,"$21,790 ",6,Minivan,$0 ,0,No,2,9,0,$0 
303462460,0,13-May-65,34,0,11,"$51,565 ",No,$0 ,No,M,Masters,Lawyer,Highly Urban/ Urban,36,Private,"$18,110 ",1,Van,$759 ,2,No,3,15,0,$0 
629946797,0,8-Aug-65,34,3,0,$0 ,No,"$66,358 ",Yes,F,High School,Home Maker,Highly Urban/ Urban,25,Private,"$11,740 ",9,SUV,"$1,800 ",2,No,2,1,1,"$5,711 "
783473090,0,6-Jan-63,36,0,11,"$105,384 ",No,"$267,509 ",Yes,M,Masters,Professional,Highly Urban/ Urban,24,Private,"$13,800 ",7,Minivan,"$31,695 ",3,Yes,4,17,0,$0 
8565171,0,13-Oct-58,41,0,10,"$66,265 ",No,"$159,276 ",Yes,M,Masters,Lawyer,Highly Urban/ Urban,59,Private,"$12,230 ",4,Minivan,$0 ,0,No,1,9,1,"$13,105 "
950995873,0,30-Apr-53,46,0,7,,No,,No,M,Masters,,Highly Urban/ Urban,17,Commercial,"$23,350 ",13,Panel Truck,"$4,678 ",3,No,6,17,1,"$4,061 "
867703916,0,8-Mar-54,45,0,12,"$32,394 ",No,$0 ,No,F,High School,Clerical,Highly Urban/ Urban,33,Private,"$13,770 ",4,SUV,$0 ,0,No,0,1,0,$0 
593582812,0,31-Jul-57,42,0,9,"$76,226 ",No,"$217,920 ",Yes,M,Bachelors,Blue Collar,Highly Urban/ Urban,18,Commercial,"$23,390 ",13,Panel Truck,$0 ,0,No,0,14,0,$0 
22340563,1,25-May-61,38,3,16,"$7,528 ",No,"$113,809 ",Yes,M,<High School,Clerical,Highly Rural/ Rural,26,Private,"$8,080 ",1,Pickup,$0 ,0,No,0,8,0,$0 
679555193,0,16-Feb-66,33,4,0,$0 ,Yes,$0 ,No,M,High School,Student,Highly Urban/ Urban,14,Commercial,"$15,090 ",1,Minivan,"$1,631 ",1,No,2,5,1,"$7,838 "
161607403,0,1-Aug-62,37,0,0,,No,"$73,890 ",Yes,F,Bachelors,Student,Highly Urban/ Urban,48,Commercial,"$12,850 ",7,SUV,$0 ,0,No,3,6,1,"$3,660 "
700623278,1,5-Jan-57,42,1,9,"$32,797 ",No,"$160,661 ",Yes,F,Masters,Lawyer,Highly Urban/ Urban,63,Private,"$21,690 ",1,Minivan,$0 ,0,No,2,14,0,$0 
755810990,0,20-Nov-51,47,0,11,"$44,705 ",No,"$217,885 ",Yes,F,Bachelors,Professional,Highly Urban/ Urban,50,Private,"$12,840 ",1,SUV,"$1,533 ",2,No,0,10,1,"$5,125 "
464090162,0,11-Nov-56,43,1,0,$0 ,No,"$70,170 ",Yes,F,Bachelors,Home Maker,Highly Urban/ Urban,26,Private,"$8,350 ",1,SUV,$0 ,0,No,3,7,0,$0 
170483243,0,6-Jun-47,52,0,9,"$68,992 ",No,"$216,986 ",No,F,Bachelors,Blue Collar,Highly Rural/ Rural,36,Commercial,"$15,120 ",1,Minivan,$0 ,0,No,3,10,0,$0 
421316364,0,8-Oct-56,43,0,11,"$132,561 ",No,"$314,433 ",No,M,Masters,Professional,Highly Urban/ Urban,8,Commercial,"$30,150 ",16,Panel Truck,"$12,294 ",1,No,0,1,0,$0 
505563410,0,6-Jan-35,64,0,15,"$31,738 ",No,"$197,010 ",Yes,M,<High School,Blue Collar,Highly Urban/ Urban,23,Commercial,"$14,620 ",6,SUV,"$3,994 ",2,No,0,1,1,"$5,085 "
813759954,0,21-Jan-33,66,1,17,"$96,830 ",No,"$325,826 ",Yes,M,Masters,Professional,Highly Urban/ Urban,23,Private,"$11,180 ",7,SUV,$0 ,0,No,0,16,0,$0 
37074844,0,24-Feb-39,60,0,9,"$125,893 ",No,$0 ,No,M,PhD,,Highly Urban/ Urban,21,Commercial,"$7,500 ",9,Pickup,"$7,278 ",2,No,4,15,0,$0 
130470336,2,8-Dec-63,35,4,6,"$154,577 ",Yes,"$397,868 ",No,F,Bachelors,Blue Collar,Highly Urban/ Urban,27,Private,"$20,450 ",6,SUV,"$4,645 ",1,No,3,1,0,$0 
637739719,0,23-Apr-47,52,0,7,"$64,014 ",No,"$244,863 ",Yes,M,<High School,Blue Collar,Highly Urban/ Urban,33,Commercial,"$7,900 ",4,Pickup,"$8,882 ",3,No,1,5,1,"$2,143 "
427956603,0,11-Sep-47,52,0,11,"$79,348 ",No,"$270,032 ",Yes,F,High School,Manager,Highly Urban/ Urban,23,Private,"$13,150 ",11,SUV,$0 ,0,No,2,1,0,$0 
993272296,0,26-Jul-43,56,2,14,"$192,089 ",No,"$471,701 ",Yes,M,PhD,,Highly Urban/ Urban,31,Commercial,"$21,100 ",1,Van,$0 ,0,No,0,,1,"$6,484 "
880941719,1,8-Jun-61,38,1,7,,No,$0 ,Yes,F,High School,Student,Highly Rural/ Rural,40,Private,"$7,050 ",4,Sports Car,$0 ,0,No,0,10,0,$0 
