客户ID,雇员关系,性别,年龄层级,客户状态,是否外国人,开户渠道,省份名称,年收入
336613,非员工,男,30-45岁,活跃客户,否,KHK,广东,74280.95999999999
342144,非员工,男,30-45岁,活跃客户,否,KAT,江西,64846.14
348750,非员工,男,30-45岁,活跃客户,否,KAT,江西,83401.74
351682,非员工,男,45-60岁,活跃客户,否,KHK,广东,91822.08
352174,非员工,男,45-60岁,活跃客户,否,KHM,广东,142372.44
353467,非员工,男,45-60岁,活跃客户,否,KAT,广东,69164.58
355403,非员工,男,30-45岁,活跃客户,否,KAT,广东,103369.74
363203,非员工,女,60-75岁,活跃客户,否,KAT,广东,161765.16
363347,非员工,男,45-60岁,活跃客户,否,KAT,陕西,66246.87
371280,非员工,女,45-60岁,活跃客户,否,KHK,陕西,82791.72
378343,非员工,男,30-45岁,活跃客户,否,KHN,广东,121082.97
380622,非员工,男,30-45岁,活跃客户,否,KAT,广东,87902.94
386396,非员工,女,18-30岁,活跃客户,否,KHE,江西,50290.8
394366,非员工,男,60-75岁,活跃客户,否,KAT,江西,45180.93
407854,非员工,男,45-60岁,活跃客户,否,KHN,陕西,49531.41
410783,非员工,女,18-30岁,活跃客户,否,KHK,广东,193173.84
413106,非员工,女,75岁以上,活跃客户,否,KAT,四川,93780.81
413450,非员工,男,45-60岁,活跃客户,否,KHL,江西,42145.26
417298,非员工,男,18-30岁,活跃客户,否,KHM,广东,155640.96
422058,非员工,女,18-30岁,活跃客户,否,KHK,陕西,125403.57
468013,非员工,女,60-75岁,活跃客户,否,KHM,海南,59297.88
469051,非员工,女,45-60岁,活跃客户,否,KHK,江西,113237.55
473865,非员工,男,45-60岁,活跃客户,否,KHN,江西,70343.58
490444,非员工,男,30-45岁,活跃客户,否,KAT,陕西,75382.62
492628,非员工,男,30-45岁,活跃客户,否,KAT,广东,70597.08
511648,非员工,女,30-45岁,活跃客户,否,KHM,江西,31836.090000000004
519362,非员工,男,30-45岁,活跃客户,否,KHK,江西,90834.0
521449,非员工,男,45-60岁,活跃客户,否,KHM,广东,176627.88
523391,非员工,男,30-45岁,活跃客户,否,KAT,江西,73439.58
525799,非员工,女,30-45岁,活跃客户,否,KHN,江西,80171.06999999999
538132,非员工,男,30-45岁,活跃客户,否,KHL,江西,161732.58000000002
541944,非员工,男,30-45岁,活跃客户,否,KAT,陕西,80042.97
542878,非员工,女,18-30岁,活跃客户,否,KHK,江西,48765.48
546275,非员工,女,30-45岁,活跃客户,否,KHK,江西,164911.86000000002
551138,非员工,男,30-45岁,活跃客户,否,KHK,陕西,71302.53
553255,非员工,男,18-30岁,活跃客户,否,KAT,江西,120025.26
558319,非员工,男,30-45岁,活跃客户,否,KHK,广东,85950.0
559572,非员工,女,45-60岁,活跃客户,否,KAT,江西,76707.18000000001
565364,非员工,女,45-60岁,活跃客户,否,KHN,广东,118791.66
569457,非员工,男,60-75岁,活跃客户,否,KHN,四川,122888.88
576863,非员工,男,30-45岁,活跃客户,否,KHM,广东,77301.24
579033,非员工,男,45-60岁,活跃客户,否,KAT,海南,201118.98
579190,非员工,男,30-45岁,活跃客户,否,KAT,江西,56278.62
580025,非员工,男,30-45岁,活跃客户,否,KHL,陕西,57521.31
582612,非员工,男,60-75岁,活跃客户,否,KAT,江西,63258.03
597385,非员工,男,60-75岁,活跃客户,否,KHK,广东,417898.83
597738,非员工,男,30-45岁,活跃客户,否,KAT,江西,71795.76
599771,非员工,男,45-60岁,活跃客户,否,KFA,陕西,243522.3
600738,非员工,男,30-45岁,活跃客户,否,KHK,海南,46427.04
610104,非员工,男,30-45岁,活跃客户,否,KAT,陕西,94212.33
620732,非员工,男,18-30岁,活跃客户,否,KHN,江西,38433.0
621748,非员工,女,30-45岁,活跃客户,否,KHN,江西,70913.16
623175,非员工,女,60-75岁,活跃客户,否,KHM,江西,46879.17
624336,非员工,男,45-60岁,活跃客户,否,KHL,江西,83585.1
628238,非员工,女,30-45岁,活跃客户,否,KHK,广东,143201.97
632473,非员工,男,60-75岁,活跃客户,否,KHM,四川,101024.49
633944,非员工,女,60-75岁,活跃客户,否,KFA,广东,223517.49
634265,非员工,女,45-60岁,活跃客户,否,KHL,江西,22074.45
635472,非员工,男,18-30岁,活跃客户,否,KHM,海南,188910.81
637140,非员工,女,30-45岁,活跃客户,否,KHK,广东,69591.48
640025,非员工,男,30-45岁,活跃客户,否,KHM,广东,201643.44
649942,非员工,女,30-45岁,活跃客户,否,KAT,广东,126105.38999999998
650445,非员工,男,30-45岁,活跃客户,否,KHN,广东,89724.9
652112,非员工,男,30-45岁,活跃客户,否,KHL,广东,112984.35
654018,非员工,男,30-45岁,活跃客户,否,KAT,陕西,91973.61
654029,非员工,男,30-45岁,活跃客户,否,KHK,江西,65684.22
654056,非员工,女,30-45岁,活跃客户,否,KHM,陕西,85850.28
655579,非员工,男,30-45岁,活跃客户,否,KHN,江西,109724.52
661002,非员工,男,45-60岁,活跃客户,否,KHM,广东,293906.34
666976,非员工,男,18-30岁,活跃客户,否,KHM,广东,833064.69
671687,非员工,男,60-75岁,活跃客户,否,KAT,江西,41384.55
675534,非员工,男,45-60岁,活跃客户,否,KHN,江西,110793.99
677950,非员工,女,30-45岁,活跃客户,否,KHK,江西,28476.81
686698,非员工,女,75岁以上,活跃客户,否,KHN,江西,49971.56999999999
687404,非员工,女,75岁以上,活跃客户,否,KAT,四川,227395.56
688641,非员工,男,75岁以上,活跃客户,否,KHK,四川,73150.65
691423,非员工,男,60-75岁,活跃客户,否,KHK,江西,132750.03
694548,非员工,男,30-45岁,活跃客户,否,KHK,江西,154791.18
701939,非员工,女,60-75岁,活跃客户,否,KHM,江西,101664.18
702000,非员工,男,18-30岁,活跃客户,否,KAT,江西,16506.54
704118,非员工,女,30-45岁,活跃客户,否,KHK,江西,227373.57
704591,非员工,男,30-45岁,活跃客户,否,KHM,广东,189853.41
710269,非员工,男,45-60岁,活跃客户,否,KHN,广东,58684.2
710758,非员工,男,60-75岁,活跃客户,否,KHN,四川,93383.28
712210,非员工,男,60-75岁,活跃客户,否,KHK,海南,74127.0
716304,非员工,男,45-60岁,活跃客户,否,KHN,陕西,204541.62
720502,非员工,男,30-45岁,活跃客户,否,KAT,广东,48820.47
722564,非员工,男,45-60岁,活跃客户,否,KHN,广东,29514.75
724240,非员工,女,30-45岁,活跃客户,否,KHM,广东,145410.21
725225,非员工,女,45-60岁,活跃客户,否,KAT,广东,145923.84
725293,非员工,男,45-60岁,活跃客户,否,KHM,江西,87725.54999999999
730213,非员工,女,30-45岁,活跃客户,否,KHK,陕西,92779.83
733427,非员工,女,30-45岁,活跃客户,否,KHM,陕西,79081.04999999999
736629,非员工,女,18-30岁,活跃客户,否,KAT,陕西,76893.9
736781,非员工,男,30-45岁,活跃客户,否,KAT,江西,32555.73
737469,非员工,男,30-45岁,活跃客户,否,KFC,广东,229933.56
740668,非员工,男,45-60岁,活跃客户,否,KHK,江西,74063.13
741669,非员工,女,30-45岁,活跃客户,否,KHK,广东,51208.71
746243,非员工,女,30-45岁,活跃客户,否,KAT,江西,44663.67
751443,非员工,男,30-45岁,活跃客户,否,KHM,海南,160828.98
755324,非员工,男,45-60岁,活跃客户,否,KFC,江西,102564.66
760610,非员工,男,30-45岁,活跃客户,否,KHK,江西,26760.18
760659,非员工,男,30-45岁,活跃客户,否,KHN,广东,94455.33
763320,非员工,男,30-45岁,活跃客户,否,KHL,江西,51093.75
763794,非员工,男,60-75岁,活跃客户,否,KHN,四川,66506.37
767789,非员工,女,30-45岁,活跃客户,否,KHN,广东,138182.34
768785,非员工,男,45-60岁,活跃客户,否,KAT,江西,111389.46
771081,非员工,女,30-45岁,活跃客户,否,KAT,广东,100596.09
772596,非员工,女,60-75岁,活跃客户,否,KAT,四川,131249.97
774873,非员工,男,30-45岁,活跃客户,否,KHN,广东,67330.14
775959,非员工,男,30-45岁,活跃客户,否,KFC,广东,88774.08
779911,非员工,女,60-75岁,活跃客户,否,KAT,江西,58667.81999999999
780760,非员工,女,75岁以上,活跃客户,否,KHN,江西,40408.59
781353,非员工,男,30-45岁,活跃客户,否,KAT,江西,52156.65
782167,非员工,女,60-75岁,活跃客户,否,KHM,陕西,85676.45999999999
782775,非员工,女,45-60岁,活跃客户,否,KHN,海南,133156.32
784899,非员工,男,30-45岁,活跃客户,否,KHM,广东,99105.66
785181,非员工,男,30-45岁,活跃客户,否,KHK,江西,46392.66
785193,非员工,男,45-60岁,活跃客户,否,KAT,江西,58320.06
785384,非员工,男,60-75岁,活跃客户,否,KHK,江西,85890.66
787453,非员工,男,45-60岁,活跃客户,否,KHM,江西,44780.28
790563,非员工,男,30-45岁,活跃客户,否,KHK,广东,65979.78
792490,非员工,男,60-75岁,活跃客户,否,KHN,江西,130693.26
794742,非员工,男,30-45岁,活跃客户,否,KHN,陕西,158246.16
796840,非员工,男,45-60岁,活跃客户,否,KHM,广东,73599.36
800026,非员工,男,30-45岁,活跃客户,否,KAT,广东,107184.36000000002
803059,非员工,男,30-45岁,活跃客户,否,KHK,陕西,124624.77
804138,非员工,男,45-60岁,活跃客户,否,KHN,江西,159981.84
804805,非员工,男,30-45岁,活跃客户,否,KHN,广东,151655.01
810048,非员工,男,30-45岁,活跃客户,否,KHN,江西,73662.78
810981,非员工,女,45-60岁,活跃客户,否,KHM,江西,145590.90000000002
813790,非员工,女,30-45岁,活跃客户,否,KFC,江西,33444.57
814827,非员工,男,30-45岁,活跃客户,否,KAT,江西,151259.31
815148,非员工,女,30-45岁,活跃客户,否,KAT,江西,70855.47
815151,非员工,男,30-45岁,活跃客户,否,KAT,江西,70855.47
817404,非员工,女,30-45岁,活跃客户,否,KAT,广东,152339.07
818202,非员工,女,45-60岁,活跃客户,否,KHN,广东,195333.15
820494,非员工,女,30-45岁,活跃客户,否,KAT,江西,99982.17
820715,非员工,女,30-45岁,活跃客户,否,KAT,广东,120366.38999999998
821161,非员工,男,30-45岁,活跃客户,否,KAT,江西,84520.83
821301,非员工,男,30-45岁,活跃客户,是,KAT,江西,50161.44
822349,非员工,女,30-45岁,活跃客户,否,KHN,江西,123473.16
822426,非员工,男,60-75岁,活跃客户,否,KHN,广东,208164.84
822663,非员工,男,45-60岁,活跃客户,否,KAT,广东,72462.93000000001
823321,非员工,男,30-45岁,活跃客户,否,KAT,江西,101240.52
824426,非员工,女,30-45岁,活跃客户,否,KHL,江西,139123.02
831351,非员工,男,30-45岁,活跃客户,否,KAT,广东,56091.81
834371,非员工,男,30-45岁,活跃客户,否,KAT,陕西,128541.09
835004,非员工,女,60-75岁,活跃客户,否,KAT,广东,45142.2
837541,非员工,男,60-75岁,活跃客户,否,KHN,四川,119461.08
839700,非员工,女,45-60岁,活跃客户,否,KHM,广东,151308.06
843393,非员工,男,18-30岁,活跃客户,否,KHL,江西,89593.98
844090,非员工,男,30-45岁,活跃客户,否,KHM,海南,126942.3
846325,非员工,女,30-45岁,活跃客户,否,KHN,陕西,98440.92
847521,非员工,男,30-45岁,活跃客户,否,KAT,江西,97597.41
850255,非员工,男,75岁以上,活跃客户,否,KAT,四川,217192.89
851516,非员工,男,60-75岁,活跃客户,否,KHK,四川,162330.21
852294,非员工,女,60-75岁,活跃客户,否,KHK,四川,89491.23
854820,非员工,女,18-30岁,活跃客户,否,KAT,广东,126166.2
856608,非员工,男,30-45岁,活跃客户,否,KHM,江西,64037.55
859477,非员工,男,30-45岁,活跃客户,否,KHK,广东,146716.2
862905,非员工,男,30-45岁,活跃客户,否,KHM,广东,131890.41
863351,非员工,女,30-45岁,活跃客户,否,KAT,陕西,74197.04999999999
863429,非员工,女,30-45岁,活跃客户,否,KHK,广东,107480.25
864408,非员工,男,45-60岁,活跃客户,否,KHN,广东,220043.37
866062,非员工,女,30-45岁,活跃客户,否,KAT,广东,70883.94
866288,非员工,男,30-45岁,活跃客户,否,KHK,广东,68041.89
868493,非员工,男,30-45岁,活跃客户,否,KHM,江西,52257.06
868494,非员工,女,30-45岁,活跃客户,否,KHM,江西,52257.06
869820,非员工,女,30-45岁,活跃客户,是,KHM,江西,46084.8
870708,非员工,男,30-45岁,活跃客户,否,KHN,广东,101698.8
871010,非员工,男,30-45岁,活跃客户,否,KAT,江西,154056.57
871376,非员工,男,30-45岁,活跃客户,否,KHM,海南,113442.99
872308,非员工,男,30-45岁,活跃客户,否,KHN,江西,87466.62
873941,非员工,男,60-75岁,活跃客户,否,KHK,陕西,128931.18
876559,非员工,男,45-60岁,活跃客户,否,KAT,陕西,95402.88
881292,非员工,男,30-45岁,活跃客户,否,KAT,陕西,110184.87
885221,非员工,女,30-45岁,活跃客户,否,KHM,广东,137633.91
887350,非员工,男,30-45岁,活跃客户,否,KHN,江西,42778.44
888803,非员工,女,45-60岁,活跃客户,否,KAT,江西,111958.74
897501,非员工,女,45-60岁,活跃客户,否,KAT,江西,61143.78
900032,非员工,女,30-45岁,活跃客户,否,KHK,江西,50232.48
901204,非员工,女,30-45岁,活跃客户,否,KHN,广东,115065.06
901777,非员工,男,45-60岁,活跃客户,否,KAT,陕西,84458.76
902043,非员工,男,30-45岁,活跃客户,否,KAT,江西,62272.14
903975,非员工,男,45-60岁,活跃客户,否,KHN,广东,119722.83
905570,非员工,女,45-60岁,活跃客户,否,KHM,海南,24681.870000000006
906806,非员工,男,30-45岁,活跃客户,否,KAT,江西,67998.33
911476,非员工,男,45-60岁,活跃客户,否,KAT,广东,93169.35
912634,非员工,女,30-45岁,活跃客户,否,KAT,江西,43825.53
914091,非员工,女,45-60岁,活跃客户,否,KHN,江西,63989.34
914799,非员工,女,45-60岁,活跃客户,否,KHN,广东,61330.29
917252,非员工,男,30-45岁,活跃客户,否,KHK,广东,212125.23
934492,非员工,女,30-45岁,活跃客户,否,KHN,广东,162760.83000000002
936023,非员工,女,45-60岁,活跃客户,是,KAT,江西,31415.43
978363,非员工,女,18-30岁,活跃客户,否,KHE,海南,40409.55
986296,非员工,女,45-60岁,活跃客户,否,KAT,广东,106732.35
997977,非员工,女,75岁以上,活跃客户,否,KAT,四川,50419.26
999543,非员工,男,30-45岁,活跃客户,否,KHN,广东,50014.05
999835,非员工,女,30-45岁,活跃客户,否,KAT,广东,111945.96
1005273,非员工,男,30-45岁,活跃客户,否,KHN,江西,59224.31999999999
1009492,非员工,男,30-45岁,活跃客户,否,KHN,广东,30731.76
1015490,非员工,男,30-45岁,活跃客户,否,KAT,江西,52555.53
1015623,非员工,男,30-45岁,活跃客户,否,KAT,海南,79871.45999999999
1019870,非员工,男,60-75岁,活跃客户,否,KAT,江西,87257.67
1021181,非员工,男,45-60岁,活跃客户,否,KHL,陕西,65732.61
1022746,非员工,男,30-45岁,活跃客户,否,KAT,广东,106782.69
1023880,非员工,男,60-75岁,活跃客户,否,KAT,江西,47658.69
1028124,非员工,男,18-30岁,活跃客户,否,KHN,广东,252594.63
1044472,非员工,男,30-45岁,活跃客户,否,KHM,广东,105936.51
1049480,非员工,女,18-30岁,活跃客户,否,KHQ,江西,107686.65
1055371,非员工,女,30-45岁,活跃客户,否,KHN,广东,65340.99000000001
1055714,非员工,男,60-75岁,活跃客户,否,KHL,广东,105186.3
1059787,非员工,男,30-45岁,活跃客户,否,KHK,江西,68762.97
1064183,非员工,女,30-45岁,活跃客户,是,KAT,广东,59914.35000000001
1073147,非员工,男,18-30岁,活跃客户,否,KHE,陕西,114236.61000000002
1076482,非员工,女,45-60岁,活跃客户,否,KHK,陕西,120729.3
1076973,非员工,男,30-45岁,活跃客户,否,KAT,广东,162329.01
1080738,非员工,男,30-45岁,活跃客户,否,KAT,江西,49520.49000000001
1083568,非员工,女,18-30岁,活跃客户,否,KHE,江西,181789.02
1085929,非员工,男,30-45岁,活跃客户,否,KAT,江西,39725.52
1100053,非员工,男,30-45岁,活跃客户,否,KAT,江西,77302.74
1112695,非员工,男,30-45岁,活跃客户,否,KAT,海南,72874.02
1115671,非员工,女,30-45岁,活跃客户,否,KHN,广东,115951.8
1115699,非员工,男,30-45岁,活跃客户,否,KAT,江西,45932.79
1118945,非员工,男,30-45岁,活跃客户,否,KAT,陕西,91211.79
1119637,非员工,女,30-45岁,活跃客户,否,KAT,广东,135436.44
1122100,非员工,男,30-45岁,活跃客户,否,KAT,广东,186769.83
1122182,非员工,男,30-45岁,活跃客户,否,KHL,海南,45670.05
1123803,非员工,女,45-60岁,活跃客户,否,KAT,海南,96959.01
1125170,非员工,男,30-45岁,活跃客户,否,KAT,江西,50272.89
1127672,非员工,女,45-60岁,活跃客户,否,KAT,广东,144704.76
1127939,非员工,男,30-45岁,活跃客户,否,KHN,广东,73124.43000000001
1132583,非员工,男,60-75岁,活跃客户,否,KHL,江西,50134.35000000001
1138304,非员工,男,30-45岁,活跃客户,是,KHK,江西,52019.37
1139209,非员工,男,18-30岁,活跃客户,否,KHL,广东,82122.69
1139838,非员工,女,75岁以上,活跃客户,否,KAT,广东,70293.39
1146126,非员工,女,18-30岁,活跃客户,否,KAT,广东,196407.42
1148392,非员工,男,18-30岁,活跃客户,否,KHM,广东,193865.01
1154191,非员工,男,45-60岁,活跃客户,否,KHM,海南,28566.6
1157104,非员工,女,45-60岁,活跃客户,否,KHN,广东,35296.26
1159245,非员工,女,18-30岁,活跃客户,否,KAT,广东,146775.12
1161451,非员工,男,60-75岁,活跃客户,否,KHN,广东,72953.85
1171704,非员工,男,30-45岁,活跃客户,否,KAT,海南,121860.93
1173675,非员工,女,30-45岁,活跃客户,否,KHL,海南,59668.92
1173806,非员工,男,18-30岁,活跃客户,是,KFC,广东,43230.72
1177738,非员工,女,30-45岁,活跃客户,否,KHM,陕西,27153.72
1189365,非员工,男,30-45岁,活跃客户,否,KFC,广东,91716.48
1202891,非员工,男,30-45岁,活跃客户,否,KFC,海南,98998.17
1203592,非员工,女,18-30岁,活跃客户,否,KAT,广东,41340.39
1212269,非员工,男,30-45岁,活跃客户,否,KAT,海南,42462.03
1215267,非员工,男,30-45岁,活跃客户,否,KAT,江西,46985.67
1218028,非员工,女,30-45岁,活跃客户,否,KHK,江西,57411.93000000001
1224703,非员工,女,45-60岁,活跃客户,否,KHM,江西,139782.38999999998
1224704,非员工,男,45-60岁,活跃客户,否,KHL,江西,187751.58
1226500,非员工,女,60-75岁,活跃客户,否,KAT,四川,274046.94
1228060,非员工,女,18-30岁,活跃客户,是,KHE,江西,47759.13
1228188,非员工,男,45-60岁,活跃客户,否,KAT,广东,70382.91
1232044,非员工,男,45-60岁,活跃客户,否,KFC,广东,138321.36000000002
1232189,非员工,女,30-45岁,活跃客户,是,KHM,江西,65082.54
1234431,非员工,男,18-30岁,活跃客户,否,KAT,广东,80336.67
1236581,非员工,女,60-75岁,活跃客户,否,KHM,广东,96878.73
1237901,非员工,男,30-45岁,活跃客户,否,KHM,广东,112292.43
1237965,非员工,男,45-60岁,活跃客户,否,KHK,陕西,92943.36
1239013,非员工,女,30-45岁,活跃客户,否,KAT,江西,48192.9
1239109,非员工,男,30-45岁,活跃客户,否,KHK,广东,62376.45
1239638,非员工,男,30-45岁,活跃客户,否,KHK,广东,62657.91
1240226,非员工,女,18-30岁,活跃客户,是,KHK,海南,69491.88
1240425,非员工,男,45-60岁,活跃客户,否,KAT,江西,248223.39
1240845,非员工,女,45-60岁,活跃客户,否,KHN,陕西,92681.79
1241976,非员工,男,60-75岁,活跃客户,否,KAT,广东,123459.27
1243506,非员工,男,30-45岁,活跃客户,否,KAT,江西,79857.95999999999
1244466,非员工,女,30-45岁,活跃客户,否,KHN,江西,61079.10000000001
1245255,非员工,男,30-45岁,活跃客户,否,KAT,广东,83624.01
1247504,非员工,女,45-60岁,活跃客户,否,KAT,江西,93473.64
1248287,非员工,女,30-45岁,活跃客户,否,KHK,陕西,71708.97
1248571,非员工,男,30-45岁,活跃客户,否,KHL,陕西,87931.98
1249122,非员工,女,30-45岁,活跃客户,否,KHN,江西,74403.06
1249566,非员工,男,30-45岁,活跃客户,否,KHM,广东,84892.53
1249666,非员工,男,45-60岁,活跃客户,否,KAT,江西,84339.03
1250541,非员工,女,30-45岁,活跃客户,否,KHL,江西,71887.23
1251224,非员工,男,30-45岁,活跃客户,是,KHK,江西,52387.89
1252144,非员工,男,30-45岁,活跃客户,否,KAT,广东,129144.96
1252431,非员工,男,18-30岁,活跃客户,否,KHL,广东,111777.54
1252905,非员工,女,60-75岁,活跃客户,否,KAT,四川,191627.97
1254835,非员工,男,30-45岁,活跃客户,否,KHN,江西,100958.43
1255751,非员工,女,30-45岁,活跃客户,否,KHK,江西,84132.56999999999
1258531,非员工,女,30-45岁,活跃客户,否,KAT,江西,74253.75
1261667,非员工,男,30-45岁,活跃客户,否,KAT,广东,116829.63
1261747,非员工,男,30-45岁,活跃客户,否,KHN,陕西,93805.08
1262856,非员工,男,30-45岁,活跃客户,否,KHL,海南,32848.95
1263932,非员工,女,30-45岁,活跃客户,否,KHN,广东,65174.04
1266424,非员工,男,30-45岁,活跃客户,否,KFC,江西,265492.92
1266515,非员工,男,45-60岁,活跃客户,否,KFC,江西,39893.31
1266579,非员工,女,18-30岁,活跃客户,否,KFC,江西,48856.92
1266625,非员工,女,30-45岁,活跃客户,否,KAT,江西,63007.95
1266695,非员工,男,45-60岁,活跃客户,否,KFC,江西,107447.91
1266720,非员工,女,30-45岁,活跃客户,否,KFC,江西,95323.89
1266797,非员工,男,30-45岁,活跃客户,否,KAT,江西,33979.14
1266812,非员工,男,30-45岁,活跃客户,否,KFC,江西,75654.84
1266832,非员工,男,30-45岁,活跃客户,否,KFC,陕西,50918.88
1266837,非员工,女,30-45岁,活跃客户,否,KFC,江西,20346.81
1266859,非员工,男,30-45岁,活跃客户,否,KFC,陕西,136050.87
1266878,非员工,女,75岁以上,活跃客户,否,KFA,北京,418266.66
1266884,非员工,女,60-75岁,活跃客户,是,KFC,江西,139308.78
1266941,非员工,女,18-30岁,活跃客户,否,KHN,广东,41313.33
1266954,非员工,女,30-45岁,活跃客户,否,KFC,江西,66028.62
1266972,非员工,男,30-45岁,活跃客户,否,KFC,海南,153479.73
1266993,非员工,男,30-45岁,活跃客户,否,KAT,江西,61413.21
1267005,非员工,女,18-30岁,活跃客户,否,KFC,陕西,56130.69
1267026,非员工,男,60-75岁,活跃客户,否,KAT,江西,108680.49
1267031,非员工,女,18-30岁,活跃客户,是,KAT,江西,45026.04
1267042,非员工,男,30-45岁,活跃客户,否,KFC,陕西,87875.28
1267070,非员工,女,45-60岁,活跃客户,否,KFC,江西,94369.98
1267117,非员工,女,30-45岁,活跃客户,否,KAT,江西,29037.21
1267167,非员工,男,30-45岁,活跃客户,否,KFC,江西,46555.65
1267185,非员工,女,18-30岁,活跃客户,否,KFC,广东,157918.47
1267245,非员工,女,60-75岁,活跃客户,否,KFC,广东,53012.22
1267262,非员工,女,18-30岁,活跃客户,否,KAT,广东,96510.0
1267284,非员工,女,30-45岁,活跃客户,否,KFC,江西,85491.24
1267305,非员工,女,75岁以上,活跃客户,否,KFA,北京,267614.88
1267325,非员工,男,18-30岁,活跃客户,是,KFC,广东,84659.28
1267410,非员工,女,30-45岁,活跃客户,否,KFC,江西,61836.81
1267462,非员工,女,30-45岁,活跃客户,否,KFC,海南,122067.03
1267494,非员工,女,30-45岁,活跃客户,否,KFC,江西,36934.02
1267505,非员工,男,30-45岁,活跃客户,否,KFC,陕西,70379.91
1267600,非员工,女,18-30岁,活跃客户,否,KFC,广东,131143.41
1267676,非员工,男,30-45岁,活跃客户,是,KFC,海南,75264.56999999999
1267686,非员工,女,75岁以上,活跃客户,否,KFC,江西,142819.34999999998
1267702,非员工,男,30-45岁,活跃客户,否,KFC,江西,76623.29999999999
1267733,非员工,女,30-45岁,活跃客户,是,KFC,广东,114079.88999999998
1267753,非员工,女,45-60岁,活跃客户,否,KAT,广东,40326.81
1267760,非员工,男,30-45岁,活跃客户,否,KAT,广东,129358.56
