SK_ID_CURR,CODE_GENDER,DAYS_BIRTH,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_EMPLOYED,OCCUPATION_TYPE,ORGANIZATION_TYPE,AMT_INCOME_TOTAL,CNT_FAM_MEMBERS,CNT_CHILDREN
100565,F,-20934,Secondary / secondary special,Married,365243,,XNA,112500.0,2.0,0
100577,F,-23169,Lower secondary,Married,365243,,XNA,171000.0,2.0,0
100585,M,-12327,Secondary / secondary special,Married,-1374,Laborers,Business Entity Type 3,126000.0,2.0,0
100587,F,-17999,Secondary / secondary special,Widow,-750,Cleaning staff,School,90000.0,2.0,1
100621,M,-18204,Secondary / secondary special,Married,-3942,Core staff,Self-employed,450000.0,2.0,0
100637,F,-22883,Higher education,Married,-2360,Core staff,Business Entity Type 3,270000.0,2.0,0
100639,F,-17573,Secondary / secondary special,Married,-552,Sales staff,Self-employed,90000.0,2.0,0
100641,M,-11405,Secondary / secondary special,Civil marriage,-459,Security staff,Security,112500.0,2.0,0
100649,F,-11653,Secondary / secondary special,Civil marriage,-4832,,School,180000.0,4.0,2
100651,F,-12838,Secondary / secondary special,Married,-2271,High skill tech staff,Medicine,157500.0,2.0,0
100658,F,-8948,Secondary / secondary special,Civil marriage,-1381,Sales staff,Self-employed,189000.0,3.0,1
100708,F,-17541,Secondary / secondary special,Separated,-2745,Accountants,Medicine,135000.0,1.0,0
100710,M,-11455,Higher education,Married,-382,Managers,Business Entity Type 3,180000.0,2.0,0
100713,F,-12893,Higher education,Married,-290,Accountants,Industry: type 3,180000.0,2.0,0
100731,F,-13830,Secondary / secondary special,Married,-1123,,Business Entity Type 2,112500.0,3.0,1
100732,F,-10230,Incomplete higher,Married,-146,Laborers,Services,225000.0,2.0,0
100739,F,-10643,Higher education,Married,-219,Accountants,Business Entity Type 3,216000.0,4.0,2
100811,M,-20220,Higher education,Married,-296,Managers,Business Entity Type 3,180000.0,2.0,0
100822,M,-11653,Higher education,Married,-439,,Business Entity Type 3,225000.0,3.0,1
100857,F,-23630,Secondary / secondary special,Single / not married,365243,,XNA,49500.0,1.0,0
100885,F,-12106,Secondary / secondary special,Single / not married,-3635,Medicine staff,Business Entity Type 3,157500.0,1.0,0
100893,F,-16419,Higher education,Married,-3300,Core staff,School,90000.0,2.0,0
100919,F,-23039,Secondary / secondary special,Married,365243,,XNA,48600.0,2.0,0
100920,M,-13765,Secondary / secondary special,Married,-1806,Drivers,Transport: type 3,112500.0,5.0,3
100934,F,-11649,Higher education,Civil marriage,-1015,High skill tech staff,Self-employed,135000.0,3.0,1
100967,M,-18493,Secondary / secondary special,Civil marriage,-1625,Drivers,Business Entity Type 3,283500.0,2.0,0
101016,M,-22443,Secondary / secondary special,Civil marriage,-8373,Managers,Self-employed,315000.0,2.0,0
101019,F,-21493,Secondary / secondary special,Married,-5582,Medicine staff,Transport: type 2,382500.0,2.0,0
101049,M,-10729,Secondary / secondary special,Married,-411,Drivers,Government,99000.0,2.0,0
101052,F,-7859,Higher education,Single / not married,-628,Sales staff,Construction,135000.0,1.0,0
101059,M,-12229,Higher education,Married,-4078,High skill tech staff,Industry: type 9,225000.0,2.0,0
101065,M,-19517,Secondary / secondary special,Single / not married,-2105,Laborers,Business Entity Type 3,121500.0,1.0,0
101083,F,-10476,Higher education,Married,-1235,,Business Entity Type 3,117000.0,2.0,0
101139,F,-11944,Higher education,Civil marriage,-3319,Secretaries,Security Ministries,112500.0,3.0,1
101153,F,-14075,Secondary / secondary special,Single / not married,-901,Cleaning staff,Business Entity Type 1,225000.0,1.0,0
101156,M,-17530,Secondary / secondary special,Married,-695,Drivers,Business Entity Type 3,180000.0,4.0,2
101195,M,-20891,Secondary / secondary special,Married,-2666,Laborers,Business Entity Type 2,90000.0,2.0,0
101227,F,-23236,Secondary / secondary special,Married,-5405,Cleaning staff,Business Entity Type 1,67500.0,2.0,0
101236,F,-23035,Higher education,Married,365243,,XNA,315000.0,2.0,0
101250,F,-22022,Secondary / secondary special,Married,365243,,XNA,49500.0,2.0,0
101421,F,-11392,Secondary / secondary special,Civil marriage,-1716,,Trade: type 7,135000.0,3.0,1
101423,M,-19384,Secondary / secondary special,Married,-300,Laborers,Business Entity Type 3,112500.0,2.0,0
101432,F,-13226,Higher education,Civil marriage,-1637,Accountants,Self-employed,157500.0,2.0,0
101473,F,-13465,Secondary / secondary special,Married,-4085,Cooking staff,Kindergarten,67500.0,4.0,2
101510,M,-15713,Higher education,Married,-259,Cooking staff,Self-employed,202500.0,2.0,0
101517,M,-17678,Secondary / secondary special,Married,-5150,Drivers,Self-employed,270000.0,2.0,0
101527,F,-19032,Secondary / secondary special,Married,-1862,Cooking staff,Business Entity Type 3,76500.0,2.0,0
101537,F,-14012,Secondary / secondary special,Single / not married,-1270,Sales staff,Self-employed,90000.0,1.0,0
101539,F,-14386,Secondary / secondary special,Married,-4690,Core staff,Kindergarten,180000.0,2.0,0
101540,F,-10902,Higher education,Married,-2134,Core staff,Security Ministries,135000.0,2.0,0
101554,M,-17179,Incomplete higher,Married,-1715,Sales staff,Self-employed,180000.0,2.0,0
101576,F,-15489,Secondary / secondary special,Married,-1408,Laborers,Electricity,90000.0,3.0,1
101653,F,-11449,Higher education,Civil marriage,-668,,Other,450000.0,2.0,0
101691,F,-11532,Incomplete higher,Single / not married,-2062,Sales staff,Business Entity Type 3,157500.0,1.0,0
101693,F,-21468,Secondary / secondary special,Widow,365243,,XNA,90000.0,1.0,0
101713,M,-12557,Higher education,Single / not married,-358,Managers,Business Entity Type 3,202500.0,1.0,0
101727,F,-7979,Secondary / secondary special,Single / not married,-1130,Medicine staff,Medicine,67500.0,1.0,0
101761,F,-21122,Secondary / secondary special,Widow,-3201,Sales staff,Trade: type 7,90000.0,1.0,0
101773,F,-14153,Secondary / secondary special,Separated,-180,Medicine staff,Other,180000.0,1.0,0
101781,F,-13177,Secondary / secondary special,Married,-1264,Sales staff,Self-employed,157500.0,3.0,1
101803,M,-8075,Secondary / secondary special,Married,-902,Laborers,Self-employed,157500.0,2.0,0
101820,M,-14511,Secondary / secondary special,Married,-2700,Cooking staff,Business Entity Type 3,292500.0,2.0,0
101822,M,-11430,Secondary / secondary special,Single / not married,-261,Laborers,Trade: type 7,126000.0,1.0,0
101834,M,-17039,Secondary / secondary special,Married,-1333,Laborers,Business Entity Type 3,157500.0,2.0,0
101844,F,-24132,Secondary / secondary special,Widow,365243,,XNA,76500.0,1.0,0
101850,F,-20305,Secondary / secondary special,Married,-11545,Laborers,Business Entity Type 3,157500.0,2.0,0
101884,F,-19898,Secondary / secondary special,Married,-4487,Private service staff,Self-employed,292500.0,2.0,0
101889,F,-14834,Secondary / secondary special,Single / not married,-2642,Sales staff,Trade: type 7,202500.0,1.0,0
101894,M,-20503,Secondary / secondary special,Widow,365243,,XNA,130500.0,1.0,0
101909,M,-14798,Secondary / secondary special,Married,-1577,Laborers,Business Entity Type 3,157500.0,2.0,0
101914,F,-23172,Secondary / secondary special,Married,365243,,XNA,315000.0,2.0,0
101966,F,-15367,Secondary / secondary special,Single / not married,-180,Medicine staff,Medicine,112500.0,1.0,0
101974,F,-20342,Secondary / secondary special,Married,365243,,XNA,157500.0,2.0,0
101982,M,-12051,Secondary / secondary special,Single / not married,-2286,Core staff,Security Ministries,315000.0,1.0,0
101998,M,-7835,Incomplete higher,Single / not married,-484,Cooking staff,Trade: type 4,171000.0,1.0,0
102011,F,-15067,Secondary / secondary special,Married,-2600,Sales staff,Self-employed,135000.0,2.0,0
102015,F,-18636,Secondary / secondary special,Married,365243,,XNA,1935000.0,2.0,0
102020,F,-19085,Secondary / secondary special,Married,-5374,Accountants,Business Entity Type 3,81000.0,3.0,1
102025,M,-9108,Secondary / secondary special,Single / not married,-1149,Laborers,Transport: type 4,135000.0,1.0,0
102045,M,-14877,Secondary / secondary special,Married,-303,Laborers,Business Entity Type 3,247500.0,2.0,0
102074,F,-13523,Secondary / secondary special,Married,-1175,Laborers,Business Entity Type 3,225000.0,3.0,1
102076,F,-18430,Incomplete higher,Married,-770,Laborers,Industry: type 3,90000.0,2.0,0
102087,M,-9080,Secondary / secondary special,Married,-1326,Laborers,Industry: type 7,112500.0,2.0,0
102093,M,-11757,Secondary / secondary special,Single / not married,-1174,Low-skill Laborers,Self-employed,157500.0,1.0,0
102095,M,-11831,Higher education,Single / not married,-623,Managers,Business Entity Type 1,225000.0,1.0,0
102103,M,-12427,Higher education,Civil marriage,-1678,,Business Entity Type 3,405000.0,2.0,0
102110,M,-16107,Secondary / secondary special,Married,-607,Laborers,Self-employed,135000.0,2.0,0
102134,F,-18100,Secondary / secondary special,Married,-3102,Accountants,Business Entity Type 3,78750.0,3.0,1
102150,M,-17851,Secondary / secondary special,Married,-486,Laborers,Business Entity Type 3,171000.0,2.0,0
102186,F,-14502,Higher education,Married,-1063,Drivers,School,180000.0,4.0,2
102196,F,-19010,Secondary / secondary special,Married,-3392,Drivers,Business Entity Type 3,180000.0,2.0,0
102202,F,-12526,Higher education,Separated,-990,Core staff,Bank,360000.0,1.0,0
102224,M,-15266,Higher education,Married,-4113,Managers,Business Entity Type 1,270000.0,4.0,2
102265,F,-8132,Secondary / secondary special,Married,-582,Sales staff,Self-employed,90000.0,2.0,0
102268,F,-22604,Incomplete higher,Widow,365243,,XNA,90000.0,1.0,0
102282,M,-21001,Higher education,Married,-7645,Managers,Security,108000.0,2.0,0
102285,M,-23918,Secondary / secondary special,Married,365243,,XNA,90000.0,2.0,0
102290,M,-21329,Secondary / secondary special,Married,-5323,,Business Entity Type 3,234000.0,2.0,0
102313,F,-12661,Secondary / secondary special,Married,-1368,Medicine staff,Medicine,171000.0,4.0,2
102326,F,-10244,Secondary / secondary special,Married,-897,Laborers,Business Entity Type 3,45000.0,3.0,1
102329,M,-9794,Higher education,Married,-692,Laborers,Business Entity Type 3,225000.0,2.0,0
102341,F,-10100,Secondary / secondary special,Single / not married,-3085,,Business Entity Type 3,202500.0,3.0,2
102343,M,-15957,Secondary / secondary special,Married,-2270,Drivers,Business Entity Type 3,180000.0,3.0,1
102364,M,-13478,Secondary / secondary special,Married,-1395,Security staff,Industry: type 3,252000.0,3.0,1
102418,M,-19315,Secondary / secondary special,Married,-6746,Security staff,Industry: type 9,270000.0,2.0,0
102423,M,-12995,Secondary / secondary special,Married,-2855,High skill tech staff,Electricity,144000.0,2.0,0
102468,M,-13758,Secondary / secondary special,Married,-5614,Laborers,Transport: type 2,270000.0,4.0,2
102495,F,-13275,Secondary / secondary special,Married,-1622,Laborers,Industry: type 8,229500.0,3.0,1
102502,M,-18914,Secondary / secondary special,Separated,-2346,,Business Entity Type 3,292500.0,1.0,0
102505,M,-10388,Secondary / secondary special,Married,-1109,Drivers,Business Entity Type 3,180000.0,2.0,0
102517,F,-17790,Secondary / secondary special,Civil marriage,-807,Sales staff,Self-employed,112500.0,2.0,0
102527,F,-16688,Secondary / secondary special,Widow,-3358,Laborers,Business Entity Type 3,48181.5,1.0,0
102560,M,-13327,Higher education,Married,-2253,Core staff,Business Entity Type 1,135000.0,3.0,1
102577,F,-22912,Secondary / secondary special,Single / not married,365243,,XNA,117000.0,1.0,0
102595,F,-19854,Secondary / secondary special,Widow,-4193,,Business Entity Type 3,90000.0,1.0,0
102606,F,-16454,Secondary / secondary special,Married,-1478,Sales staff,Self-employed,90000.0,2.0,0
102610,F,-21577,Higher education,Widow,-1891,Security staff,Kindergarten,180000.0,1.0,0
102612,F,-13180,Secondary / secondary special,Married,-769,Laborers,Agriculture,90000.0,4.0,2
102615,M,-12703,Higher education,Separated,-3475,Laborers,Business Entity Type 2,382500.0,1.0,0
102645,F,-16749,Higher education,Separated,-7152,Core staff,Police,292500.0,1.0,0
102710,M,-18942,Secondary / secondary special,Married,-2987,Security staff,Hotel,67500.0,2.0,0
102736,F,-18826,Secondary / secondary special,Married,-488,Sales staff,Business Entity Type 3,180000.0,2.0,0
102738,F,-17789,Secondary / secondary special,Separated,-2944,Managers,Other,157500.0,1.0,0
102752,F,-14601,Secondary / secondary special,Single / not married,-7623,Core staff,Medicine,135000.0,2.0,1
102778,F,-21339,Lower secondary,Married,365243,,XNA,67500.0,2.0,0
102788,F,-13714,Secondary / secondary special,Widow,-614,,Industry: type 3,99000.0,1.0,0
102792,F,-21756,Secondary / secondary special,Married,365243,,XNA,90000.0,2.0,0
102809,F,-19824,Secondary / secondary special,Single / not married,-1639,,Other,112500.0,2.0,1
102827,F,-15716,Secondary / secondary special,Civil marriage,-2951,Managers,Trade: type 7,450000.0,2.0,0
102833,F,-9913,Higher education,Married,-1338,,Business Entity Type 3,117000.0,2.0,0
102875,M,-12733,Secondary / secondary special,Married,-3185,Drivers,Electricity,112500.0,2.0,0
102886,M,-24735,Secondary / secondary special,Married,365243,,XNA,99000.0,2.0,0
102910,F,-8127,Secondary / secondary special,Single / not married,-380,Sales staff,Self-employed,90000.0,1.0,0
102940,F,-21035,Higher education,Married,-3462,Private service staff,Self-employed,162000.0,2.0,0
102959,F,-15438,Secondary / secondary special,Married,-3468,Sales staff,Self-employed,333000.0,2.0,0
102963,M,-10813,Higher education,Married,-553,IT staff,Industry: type 11,202500.0,2.0,0
102965,F,-15978,Secondary / secondary special,Single / not married,-501,,Transport: type 4,90000.0,1.0,0
102973,M,-22013,Secondary / secondary special,Married,-14507,Drivers,Business Entity Type 1,270000.0,2.0,0
102992,M,-8971,Secondary / secondary special,Single / not married,-1409,Accountants,Restaurant,180000.0,1.0,0
102993,F,-15010,Secondary / secondary special,Separated,-4028,Laborers,Business Entity Type 3,157500.0,1.0,0
103041,F,-17877,Secondary / secondary special,Married,-1860,Laborers,Industry: type 3,135000.0,2.0,0
103043,F,-14008,Secondary / secondary special,Civil marriage,-631,,Self-employed,144000.0,2.0,0
103053,M,-18364,Secondary / secondary special,Married,-1119,High skill tech staff,Business Entity Type 3,225000.0,2.0,0
103066,F,-14421,Higher education,Married,-5574,Accountants,Business Entity Type 3,315000.0,3.0,1
103070,M,-14200,Higher education,Married,-3298,High skill tech staff,Business Entity Type 3,225000.0,2.0,0
103075,F,-12860,Incomplete higher,Civil marriage,-619,,Business Entity Type 3,166500.0,2.0,0
103088,F,-22633,Secondary / secondary special,Single / not married,365243,,XNA,180000.0,1.0,0
103094,F,-12303,Higher education,Married,-1145,Managers,Business Entity Type 3,108000.0,4.0,2
103109,F,-20758,Higher education,Married,-2232,Sales staff,Self-employed,427500.0,2.0,0
103117,F,-23759,Secondary / secondary special,Widow,365243,,XNA,67500.0,1.0,0
103131,F,-12453,Secondary / secondary special,Married,-1927,Cooking staff,Kindergarten,112500.0,4.0,2
103135,M,-19041,Secondary / secondary special,Married,-4414,Laborers,Business Entity Type 2,112500.0,2.0,0
103153,F,-17791,Higher education,Married,-5072,,Business Entity Type 2,157500.0,2.0,0
103170,F,-20496,Higher education,Married,-11323,Core staff,University,202500.0,2.0,0
103174,M,-11063,Secondary / secondary special,Married,-498,Laborers,Medicine,135000.0,2.0,0
103216,F,-11630,Secondary / secondary special,Married,-2267,Cleaning staff,Business Entity Type 1,135000.0,2.0,0
103235,F,-22174,Higher education,Married,365243,,XNA,202500.0,2.0,0
103245,F,-12218,Secondary / secondary special,Separated,-5393,Sales staff,Self-employed,270000.0,2.0,1
103264,F,-12518,Higher education,Married,-5046,Core staff,Security Ministries,90000.0,2.0,0
103271,F,-21420,Secondary / secondary special,Widow,-291,,Other,112500.0,1.0,0
103272,F,-23479,Secondary / secondary special,Married,365243,,XNA,67500.0,2.0,0
103299,M,-13599,Secondary / secondary special,Married,-3799,Security staff,Business Entity Type 3,81000.0,3.0,1
103320,F,-18729,Secondary / secondary special,Married,365243,,XNA,144000.0,3.0,1
103328,F,-17900,Higher education,Married,-1824,Accountants,Business Entity Type 3,540000.0,3.0,1
103337,F,-23698,Higher education,Widow,365243,,XNA,81000.0,1.0,0
103348,F,-13752,Secondary / secondary special,Married,-651,Laborers,Business Entity Type 3,112500.0,3.0,1
103355,M,-21200,Secondary / secondary special,Married,-1852,High skill tech staff,Housing,99000.0,2.0,0
103365,F,-19494,Secondary / secondary special,Married,-8171,Cooking staff,School,157500.0,2.0,0
103366,M,-15848,Secondary / secondary special,Married,-1620,Drivers,Self-employed,351000.0,2.0,0
103372,F,-22767,Incomplete higher,Married,365243,,XNA,60750.0,2.0,0
103387,F,-24151,Secondary / secondary special,Widow,365243,,XNA,162000.0,1.0,0
103401,F,-16014,Secondary / secondary special,Married,-1829,,Hotel,225000.0,3.0,1
103413,F,-16554,Secondary / secondary special,Married,-7847,High skill tech staff,Business Entity Type 2,112500.0,2.0,0
103434,M,-16616,Secondary / secondary special,Civil marriage,-2477,Drivers,Self-employed,76500.0,2.0,0
103471,F,-18985,Secondary / secondary special,Married,-5556,Managers,Business Entity Type 3,180000.0,2.0,0
103487,F,-21221,Secondary / secondary special,Single / not married,365243,,XNA,54000.0,1.0,0
103491,F,-13284,Secondary / secondary special,Married,-389,Cleaning staff,Business Entity Type 3,202500.0,2.0,0
103506,M,-13769,Secondary / secondary special,Single / not married,-1188,Laborers,Business Entity Type 3,184500.0,2.0,1
103535,F,-14552,Secondary / secondary special,Married,-1517,Sales staff,Trade: type 1,117000.0,2.0,0
103542,F,-11321,Secondary / secondary special,Civil marriage,-881,Sales staff,Business Entity Type 3,135000.0,2.0,0
103546,F,-22822,Secondary / secondary special,Married,365243,,XNA,87750.0,2.0,0
103552,M,-22478,Secondary / secondary special,Married,365243,,XNA,193500.0,2.0,0
103598,F,-22288,Secondary / secondary special,Married,365243,,XNA,157500.0,2.0,0
103617,F,-9651,Secondary / secondary special,Married,-2266,,Business Entity Type 3,135000.0,4.0,2
103620,F,-9883,Secondary / secondary special,Separated,-1707,,Business Entity Type 2,225000.0,1.0,0
103633,F,-18333,Secondary / secondary special,Single / not married,-8314,Core staff,Transport: type 2,202500.0,1.0,0
103634,F,-17445,Secondary / secondary special,Married,-3391,Managers,Self-employed,292500.0,2.0,0
103642,M,-12790,Secondary / secondary special,Separated,-384,Drivers,Self-employed,247500.0,1.0,0
103654,M,-18038,Secondary / secondary special,Married,-10355,,Business Entity Type 3,202500.0,2.0,0
103667,F,-21601,Secondary / secondary special,Married,365243,,XNA,148500.0,2.0,0
103670,F,-21904,Higher education,Married,365243,,XNA,112500.0,2.0,0
103672,F,-19091,Secondary / secondary special,Married,-376,Medicine staff,Medicine,67500.0,2.0,0
103698,F,-19576,Secondary / secondary special,Married,-417,Security staff,Transport: type 4,112500.0,2.0,0
103703,M,-9852,Secondary / secondary special,Married,-1945,,Military,103500.0,4.0,2
103751,M,-11335,Secondary / secondary special,Married,-440,Core staff,Construction,292500.0,2.0,0
103753,F,-21023,Higher education,Married,-10211,Core staff,School,157500.0,2.0,0
103769,F,-18228,Secondary / secondary special,Married,-491,Security staff,Security,63000.0,2.0,0
103770,F,-17885,Secondary / secondary special,Married,-1994,Laborers,Business Entity Type 3,270000.0,2.0,0
103793,F,-20817,Secondary / secondary special,Married,365243,,XNA,81000.0,2.0,0
103795,M,-13753,Secondary / secondary special,Married,-4813,Managers,Business Entity Type 3,135000.0,2.0,0
103804,F,-12261,Secondary / secondary special,Married,-4781,Medicine staff,Medicine,112500.0,4.0,2
103806,M,-17594,Secondary / secondary special,Married,-491,Drivers,Business Entity Type 2,270000.0,2.0,0
103823,F,-21043,Higher education,Married,-856,High skill tech staff,Kindergarten,247500.0,2.0,0
103866,M,-14794,Secondary / secondary special,Married,-1360,Private service staff,Services,382500.0,2.0,0
103877,F,-14553,Secondary / secondary special,Widow,-5810,Drivers,Trade: type 3,90000.0,3.0,2
103883,F,-17007,Secondary / secondary special,Married,-1569,Sales staff,Self-employed,103500.0,2.0,0
103910,F,-10097,Secondary / secondary special,Married,-2259,Sales staff,Self-employed,72000.0,4.0,2
103925,F,-9412,Incomplete higher,Single / not married,-1360,Sales staff,Business Entity Type 3,67500.0,1.0,0
103930,M,-9055,Secondary / secondary special,Single / not married,-1532,,Business Entity Type 3,135000.0,2.0,1
103934,F,-22834,Secondary / secondary special,Widow,365243,,XNA,112500.0,1.0,0
103937,F,-21008,Secondary / secondary special,Widow,365243,,XNA,90000.0,1.0,0
103938,F,-12213,Higher education,Married,-843,Managers,Housing,1350000.0,3.0,1
104032,M,-17901,Secondary / secondary special,Married,-1552,Core staff,Trade: type 2,112500.0,2.0,0
104037,F,-10776,Incomplete higher,Married,-465,Secretaries,Government,67500.0,4.0,2
104050,F,-16829,Secondary / secondary special,Married,-1154,Laborers,Industry: type 10,103500.0,2.0,0
104052,F,-20493,Secondary / secondary special,Married,365243,,XNA,81000.0,2.0,0
104055,F,-24684,Secondary / secondary special,Widow,365243,,XNA,90000.0,1.0,0
104057,F,-22482,Secondary / secondary special,Married,365243,,XNA,251325.0,2.0,0
104075,F,-20012,Higher education,Widow,365243,,XNA,112500.0,1.0,0
104079,F,-16340,Secondary / secondary special,Married,-3253,Private service staff,Business Entity Type 3,247500.0,2.0,0
104081,F,-10148,Secondary / secondary special,Married,-702,,Medicine,157500.0,3.0,1
104097,F,-23134,Secondary / secondary special,Married,365243,,XNA,157500.0,2.0,0
104102,F,-10468,Higher education,Married,-826,,Business Entity Type 3,67500.0,2.0,0
104113,M,-18196,Secondary / secondary special,Married,-235,Core staff,Construction,315000.0,2.0,0
104116,F,-22881,Secondary / secondary special,Married,365243,,XNA,65025.0,2.0,0
104152,F,-9907,Secondary / secondary special,Married,-2661,Medicine staff,Medicine,270000.0,2.0,0
104185,F,-16358,Higher education,Married,-3465,Accountants,Business Entity Type 3,112500.0,2.0,0
104191,F,-9221,Secondary / secondary special,Married,-1413,Sales staff,Self-employed,247500.0,4.0,2
104211,M,-14586,Higher education,Married,-197,Sales staff,Business Entity Type 3,112500.0,3.0,1
104213,F,-21505,Secondary / secondary special,Civil marriage,365243,,XNA,81000.0,2.0,0
104217,F,-12085,Secondary / secondary special,Married,-1257,Laborers,Business Entity Type 3,180000.0,5.0,3
104219,M,-8483,Incomplete higher,Single / not married,-317,Drivers,Business Entity Type 3,180000.0,1.0,0
104224,F,-9026,Secondary / secondary special,Married,-594,Sales staff,Business Entity Type 3,90000.0,2.0,0
104237,F,-11787,Secondary / secondary special,Civil marriage,-756,Laborers,Government,225000.0,3.0,1
104247,M,-16213,Secondary / secondary special,Married,-2772,,Security Ministries,225000.0,2.0,0
104261,F,-15089,Secondary / secondary special,Civil marriage,-98,Laborers,Business Entity Type 2,108000.0,3.0,1
104275,F,-20417,Higher education,Married,365243,,XNA,90000.0,2.0,0
104289,M,-14705,Secondary / secondary special,Married,-761,Laborers,Business Entity Type 3,225000.0,3.0,1
104291,M,-17546,Secondary / secondary special,Single / not married,365243,,XNA,72000.0,1.0,0
104305,F,-20078,Secondary / secondary special,Married,-12205,Laborers,Other,90000.0,2.0,0
104315,F,-14422,Secondary / secondary special,Married,-1123,Cooking staff,Industry: type 11,157500.0,2.0,0
104326,F,-13619,Secondary / secondary special,Single / not married,-743,Sales staff,Self-employed,112500.0,2.0,1
104333,M,-18664,Higher education,Married,-6560,Managers,Restaurant,225000.0,4.0,2
104343,F,-19265,Lower secondary,Civil marriage,365243,,XNA,162000.0,2.0,0
104346,M,-22306,Higher education,Married,-3199,Accountants,Business Entity Type 3,139500.0,2.0,0
104372,F,-21517,Secondary / secondary special,Married,365243,,XNA,90000.0,2.0,0
104390,F,-19721,Higher education,Separated,-170,Security staff,Housing,135000.0,1.0,0
