本期ID,性别,出生天数,学历,婚姻状况,就业天数,职业类别,单位类别,年收入,家庭人数,子女人数
100541,女,-10616,高中/职高,未婚,-1065,销售人员,自由职业,180000,3,2
100544,女,-13583,高中/职高,未婚,-117,销售人员,贸易类别3,96750,1,0
100545,女,-19058,高中/职高,有配偶,-10089,,应急部门,144000,2,0
100546,男,-23539,高中/职高,有配偶,365243,,未知,67500,2,0
100550,女,-13768,本科及以上,有配偶,-2722,工人,公司类别3,247500,2,0
100557,女,-10825,大学肄业,有配偶,-1802,销售人员,公司类别3,225000,2,0
100565,女,-20934,高中/职高,有配偶,365243,,未知,112500,2,0
100577,女,-23169,初中及以下,有配偶,365243,,未知,171000,2,0
100585,男,-12327,高中/职高,有配偶,-1374,工人,公司类别3,126000,2,0
100587,女,-17999,高中/职高,丧偶,-750,清洁工,学校,90000,2,1
100621,男,-18204,高中/职高,有配偶,-3942,核心员工,自由职业,450000,2,0
100637,女,-22883,本科及以上,有配偶,-2360,核心员工,公司类别3,270000,2,0
100639,女,-17573,高中/职高,有配偶,-552,销售人员,自由职业,90000,2,0
100641,男,-11405,高中/职高,民事婚姻,-459,安保人员,安保,112500,2,0
100649,女,-11653,高中/职高,民事婚姻,-4832,,学校,180000,4,2
100651,女,-12838,高中/职高,有配偶,-2271,专业技术人员,医疗,157500,2,0
100658,女,-8948,高中/职高,民事婚姻,-1381,销售人员,自由职业,189000,3,1
100708,女,-17541,高中/职高,离异,-2745,会计,医疗,135000,1,0
100710,男,-11455,本科及以上,有配偶,-382,经理,公司类别3,180000,2,0
100713,女,-12893,本科及以上,有配偶,-290,会计,工业类别3,180000,2,0
100731,女,-13830,高中/职高,有配偶,-1123,,公司类别2,112500,3,1
100732,女,-10230,大学肄业,有配偶,-146,工人,服务业,225000,2,0
100739,女,-10643,本科及以上,有配偶,-219,会计,公司类别3,216000,4,2
100811,男,-20220,本科及以上,有配偶,-296,经理,公司类别3,180000,2,0
100822,男,-11653,本科及以上,有配偶,-439,,公司类别3,225000,3,1
100857,女,-23630,高中/职高,未婚,365243,,未知,49500,1,0
100885,女,-12106,高中/职高,未婚,-3635,医务人员,公司类别3,157500,1,0
100893,女,-16419,本科及以上,有配偶,-3300,核心员工,学校,90000,2,0
100919,女,-23039,高中/职高,有配偶,365243,,未知,48600,2,0
100920,男,-13765,高中/职高,有配偶,-1806,司机,交通类别3,112500,5,3
100934,女,-11649,本科及以上,民事婚姻,-1015,专业技术人员,自由职业,135000,3,1
100967,男,-18493,高中/职高,民事婚姻,-1625,司机,公司类别3,283500,2,0
101016,男,-22443,高中/职高,民事婚姻,-8373,经理,自由职业,315000,2,0
101019,女,-21493,高中/职高,有配偶,-5582,医务人员,交通类别2,382500,2,0
101049,男,-10729,高中/职高,有配偶,-411,司机,政府部门,99000,2,0
101052,女,-7859,本科及以上,未婚,-628,销售人员,建筑,135000,1,0
101059,男,-12229,本科及以上,有配偶,-4078,专业技术人员,工业类别9,225000,2,0
101065,男,-19517,高中/职高,未婚,-2105,工人,公司类别3,121500,1,0
101083,女,-10476,本科及以上,有配偶,-1235,,公司类别3,117000,2,0
101139,女,-11944,本科及以上,民事婚姻,-3319,文职人员,公共安全,112500,3,1
101153,女,-14075,高中/职高,未婚,-901,清洁工,公司类别1,225000,1,0
101156,男,-17530,高中/职高,有配偶,-695,司机,公司类别3,180000,4,2
101195,男,-20891,高中/职高,有配偶,-2666,工人,公司类别2,90000,2,0
101227,女,-23236,高中/职高,有配偶,-5405,清洁工,公司类别1,67500,2,0
101236,女,-23035,本科及以上,有配偶,365243,,未知,315000,2,0
101250,女,-22022,高中/职高,有配偶,365243,,未知,49500,2,0
101421,女,-11392,高中/职高,民事婚姻,-1716,,贸易类别7,135000,3,1
101423,男,-19384,高中/职高,有配偶,-300,工人,公司类别3,112500,2,0
101432,女,-13226,本科及以上,民事婚姻,-1637,会计,自由职业,157500,2,0
101473,女,-13465,高中/职高,有配偶,-4085,厨师,幼教,67500,4,2
101510,男,-15713,本科及以上,有配偶,-259,厨师,自由职业,202500,2,0
101517,男,-17678,高中/职高,有配偶,-5150,司机,自由职业,270000,2,0
101527,女,-19032,高中/职高,有配偶,-1862,厨师,公司类别3,76500,2,0
101537,女,-14012,高中/职高,未婚,-1270,销售人员,自由职业,90000,1,0
101539,女,-14386,高中/职高,有配偶,-4690,核心员工,幼教,180000,2,0
101540,女,-10902,本科及以上,有配偶,-2134,核心员工,公共安全,135000,2,0
101554,男,-17179,大学肄业,有配偶,-1715,销售人员,自由职业,180000,2,0
101576,女,-15489,高中/职高,有配偶,-1408,工人,电力,90000,3,1
101653,女,-11449,本科及以上,民事婚姻,-668,,其他,450000,2,0
101691,女,-11532,大学肄业,未婚,-2062,销售人员,公司类别3,157500,1,0
101693,女,-21468,高中/职高,丧偶,365243,,未知,90000,1,0
101713,男,-12557,本科及以上,未婚,-358,经理,公司类别3,202500,1,0
101727,女,-7979,高中/职高,未婚,-1130,医务人员,医疗,67500,1,0
101761,女,-21122,高中/职高,丧偶,-3201,销售人员,贸易类别7,90000,1,0
101773,女,-14153,高中/职高,离异,-180,医务人员,其他,180000,1,0
101781,女,-13177,高中/职高,有配偶,-1264,销售人员,自由职业,157500,3,1
101803,男,-8075,高中/职高,有配偶,-902,工人,自由职业,157500,2,0
101820,男,-14511,高中/职高,有配偶,-2700,厨师,公司类别3,292500,2,0
101822,男,-11430,高中/职高,未婚,-261,工人,贸易类别7,126000,1,0
101834,男,-17039,高中/职高,有配偶,-1333,工人,公司类别3,157500,2,0
101844,女,-24132,高中/职高,丧偶,365243,,未知,76500,1,0
101850,女,-20305,高中/职高,有配偶,-11545,工人,公司类别3,157500,2,0
101884,女,-19898,高中/职高,有配偶,-4487,家政人员,自由职业,292500,2,0
101889,女,-14834,高中/职高,未婚,-2642,销售人员,贸易类别7,202500,1,0
101894,男,-20503,高中/职高,丧偶,365243,,未知,130500,1,0
101909,男,-14798,高中/职高,有配偶,-1577,工人,公司类别3,157500,2,0
101914,女,-23172,高中/职高,有配偶,365243,,未知,315000,2,0
101966,女,-15367,高中/职高,未婚,-180,医务人员,医疗,112500,1,0
101974,女,-20342,高中/职高,有配偶,365243,,未知,157500,2,0
101982,男,-12051,高中/职高,未婚,-2286,核心员工,公共安全,315000,1,0
101998,男,-7835,大学肄业,未婚,-484,厨师,贸易类别4,171000,1,0
102011,女,-15067,高中/职高,有配偶,-2600,销售人员,自由职业,135000,2,0
102015,女,-18636,高中/职高,有配偶,365243,,未知,1935000,2,0
102020,女,-19085,高中/职高,有配偶,-5374,会计,公司类别3,81000,3,1
102025,男,-9108,高中/职高,未婚,-1149,工人,交通类别4,135000,1,0
102045,男,-14877,高中/职高,有配偶,-303,工人,公司类别3,247500,2,0
102074,女,-13523,高中/职高,有配偶,-1175,工人,公司类别3,225000,3,1
102076,女,-18430,大学肄业,有配偶,-770,工人,工业类别3,90000,2,0
102087,男,-9080,高中/职高,有配偶,-1326,工人,工业类别7,112500,2,0
102093,男,-11757,高中/职高,未婚,-1174,低技能工人,自由职业,157500,1,0
102095,男,-11831,本科及以上,未婚,-623,经理,公司类别1,225000,1,0
102103,男,-12427,本科及以上,民事婚姻,-1678,,公司类别3,405000,2,0
102110,男,-16107,高中/职高,有配偶,-607,工人,自由职业,135000,2,0
102134,女,-18100,高中/职高,有配偶,-3102,会计,公司类别3,78750,3,1
102150,男,-17851,高中/职高,有配偶,-486,工人,公司类别3,171000,2,0
102186,女,-14502,本科及以上,有配偶,-1063,司机,学校,180000,4,2
102196,女,-19010,高中/职高,有配偶,-3392,司机,公司类别3,180000,2,0
102202,女,-12526,本科及以上,离异,-990,核心员工,银行,360000,1,0
102224,男,-15266,本科及以上,有配偶,-4113,经理,公司类别1,270000,4,2
102265,女,-8132,高中/职高,有配偶,-582,销售人员,自由职业,90000,2,0
102268,女,-22604,大学肄业,丧偶,365243,,未知,90000,1,0
102282,男,-21001,本科及以上,有配偶,-7645,经理,安保,108000,2,0
102285,男,-23918,高中/职高,有配偶,365243,,未知,90000,2,0
102290,男,-21329,高中/职高,有配偶,-5323,,公司类别3,234000,2,0
102313,女,-12661,高中/职高,有配偶,-1368,医务人员,医疗,171000,4,2
102326,女,-10244,高中/职高,有配偶,-897,工人,公司类别3,45000,3,1
102329,男,-9794,本科及以上,有配偶,-692,工人,公司类别3,225000,2,0
102341,女,-10100,高中/职高,未婚,-3085,,公司类别3,202500,3,2
102343,男,-15957,高中/职高,有配偶,-2270,司机,公司类别3,180000,3,1
102364,男,-13478,高中/职高,有配偶,-1395,安保人员,工业类别3,252000,3,1
102418,男,-19315,高中/职高,有配偶,-6746,安保人员,工业类别9,270000,2,0
102423,男,-12995,高中/职高,有配偶,-2855,专业技术人员,电力,144000,2,0
102468,男,-13758,高中/职高,有配偶,-5614,工人,交通类别2,270000,4,2
102495,女,-13275,高中/职高,有配偶,-1622,工人,工业类别8,229500,3,1
102502,男,-18914,高中/职高,离异,-2346,,公司类别3,292500,1,0
102505,男,-10388,高中/职高,有配偶,-1109,司机,公司类别3,180000,2,0
102517,女,-17790,高中/职高,民事婚姻,-807,销售人员,自由职业,112500,2,0
102527,女,-16688,高中/职高,丧偶,-3358,工人,公司类别3,48181.5,1,0
102560,男,-13327,本科及以上,有配偶,-2253,核心员工,公司类别1,135000,3,1
102577,女,-22912,高中/职高,未婚,365243,,未知,117000,1,0
102595,女,-19854,高中/职高,丧偶,-4193,,公司类别3,90000,1,0
102606,女,-16454,高中/职高,有配偶,-1478,销售人员,自由职业,90000,2,0
102610,女,-21577,本科及以上,丧偶,-1891,安保人员,幼教,180000,1,0
102612,女,-13180,高中/职高,有配偶,-769,工人,农业,90000,4,2
102615,男,-12703,本科及以上,离异,-3475,工人,公司类别2,382500,1,0
102645,女,-16749,本科及以上,离异,-7152,核心员工,警察,292500,1,0
102710,男,-18942,高中/职高,有配偶,-2987,安保人员,酒店,67500,2,0
102736,女,-18826,高中/职高,有配偶,-488,销售人员,公司类别3,180000,2,0
102738,女,-17789,高中/职高,离异,-2944,经理,其他,157500,1,0
102752,女,-14601,高中/职高,未婚,-7623,核心员工,医疗,135000,2,1
102778,女,-21339,初中及以下,有配偶,365243,,未知,67500,2,0
102788,女,-13714,高中/职高,丧偶,-614,,工业类别3,99000,1,0
102792,女,-21756,高中/职高,有配偶,365243,,未知,90000,2,0
102809,女,-19824,高中/职高,未婚,-1639,,其他,112500,2,1
102827,女,-15716,高中/职高,民事婚姻,-2951,经理,贸易类别7,450000,2,0
102833,女,-9913,本科及以上,有配偶,-1338,,公司类别3,117000,2,0
102875,男,-12733,高中/职高,有配偶,-3185,司机,电力,112500,2,0
102886,男,-24735,高中/职高,有配偶,365243,,未知,99000,2,0
102910,女,-8127,高中/职高,未婚,-380,销售人员,自由职业,90000,1,0
102940,女,-21035,本科及以上,有配偶,-3462,家政人员,自由职业,162000,2,0
102959,女,-15438,高中/职高,有配偶,-3468,销售人员,自由职业,333000,2,0
102963,男,-10813,本科及以上,有配偶,-553,信息技术人员,工业类别11,202500,2,0
102965,女,-15978,高中/职高,未婚,-501,,交通类别4,90000,1,0
102973,男,-22013,高中/职高,有配偶,-14507,司机,公司类别1,270000,2,0
102992,男,-8971,高中/职高,未婚,-1409,会计,餐饮,180000,1,0
102993,女,-15010,高中/职高,离异,-4028,工人,公司类别3,157500,1,0
103041,女,-17877,高中/职高,有配偶,-1860,工人,工业类别3,135000,2,0
103043,女,-14008,高中/职高,民事婚姻,-631,,自由职业,144000,2,0
103053,男,-18364,高中/职高,有配偶,-1119,专业技术人员,公司类别3,225000,2,0
103066,女,-14421,本科及以上,有配偶,-5574,会计,公司类别3,315000,3,1
103070,男,-14200,本科及以上,有配偶,-3298,专业技术人员,公司类别3,225000,2,0
103075,女,-12860,大学肄业,民事婚姻,-619,,公司类别3,166500,2,0
103088,女,-22633,高中/职高,未婚,365243,,未知,180000,1,0
103094,女,-12303,本科及以上,有配偶,-1145,经理,公司类别3,108000,4,2
103109,女,-20758,本科及以上,有配偶,-2232,销售人员,自由职业,427500,2,0
103117,女,-23759,高中/职高,丧偶,365243,,未知,67500,1,0
103131,女,-12453,高中/职高,有配偶,-1927,厨师,幼教,112500,4,2
103135,男,-19041,高中/职高,有配偶,-4414,工人,公司类别2,112500,2,0
103153,女,-17791,本科及以上,有配偶,-5072,,公司类别2,157500,2,0
103170,女,-20496,本科及以上,有配偶,-11323,核心员工,大学,202500,2,0
103174,男,-11063,高中/职高,有配偶,-498,工人,医疗,135000,2,0
103216,女,-11630,高中/职高,有配偶,-2267,清洁工,公司类别1,135000,2,0
103235,女,-22174,本科及以上,有配偶,365243,,未知,202500,2,0
103245,女,-12218,高中/职高,离异,-5393,销售人员,自由职业,270000,2,1
103264,女,-12518,本科及以上,有配偶,-5046,核心员工,公共安全,90000,2,0
103271,女,-21420,高中/职高,丧偶,-291,,其他,112500,1,0
103272,女,-23479,高中/职高,有配偶,365243,,未知,67500,2,0
103299,男,-13599,高中/职高,有配偶,-3799,安保人员,公司类别3,81000,3,1
103320,女,-18729,高中/职高,有配偶,365243,,未知,144000,3,1
103328,女,-17900,本科及以上,有配偶,-1824,会计,公司类别3,540000,3,1
103337,女,-23698,本科及以上,丧偶,365243,,未知,81000,1,0
103348,女,-13752,高中/职高,有配偶,-651,工人,公司类别3,112500,3,1
103355,男,-21200,高中/职高,有配偶,-1852,专业技术人员,物业,99000,2,0
103365,女,-19494,高中/职高,有配偶,-8171,厨师,学校,157500,2,0
103366,男,-15848,高中/职高,有配偶,-1620,司机,自由职业,351000,2,0
103372,女,-22767,大学肄业,有配偶,365243,,未知,60750,2,0
103387,女,-24151,高中/职高,丧偶,365243,,未知,162000,1,0
103401,女,-16014,高中/职高,有配偶,-1829,,酒店,225000,3,1
103413,女,-16554,高中/职高,有配偶,-7847,专业技术人员,公司类别2,112500,2,0
103434,男,-16616,高中/职高,民事婚姻,-2477,司机,自由职业,76500,2,0
103471,女,-18985,高中/职高,有配偶,-5556,经理,公司类别3,180000,2,0
103487,女,-21221,高中/职高,未婚,365243,,未知,54000,1,0
103491,女,-13284,高中/职高,有配偶,-389,清洁工,公司类别3,202500,2,0
103506,男,-13769,高中/职高,未婚,-1188,工人,公司类别3,184500,2,1
103535,女,-14552,高中/职高,有配偶,-1517,销售人员,贸易类别1,117000,2,0
103542,女,-11321,高中/职高,民事婚姻,-881,销售人员,公司类别3,135000,2,0
103546,女,-22822,高中/职高,有配偶,365243,,未知,87750,2,0
103552,男,-22478,高中/职高,有配偶,365243,,未知,193500,2,0
103598,女,-22288,高中/职高,有配偶,365243,,未知,157500,2,0
103617,女,-9651,高中/职高,有配偶,-2266,,公司类别3,135000,4,2
103620,女,-9883,高中/职高,离异,-1707,,公司类别2,225000,1,0
103633,女,-18333,高中/职高,未婚,-8314,核心员工,交通类别2,202500,1,0
103634,女,-17445,高中/职高,有配偶,-3391,经理,自由职业,292500,2,0
103642,男,-12790,高中/职高,离异,-384,司机,自由职业,247500,1,0
103654,男,-18038,高中/职高,有配偶,-10355,,公司类别3,202500,2,0
103667,女,-21601,高中/职高,有配偶,365243,,未知,148500,2,0
103670,女,-21904,本科及以上,有配偶,365243,,未知,112500,2,0
103672,女,-19091,高中/职高,有配偶,-376,医务人员,医疗,67500,2,0
103698,女,-19576,高中/职高,有配偶,-417,安保人员,交通类别4,112500,2,0
103703,男,-9852,高中/职高,有配偶,-1945,,军队,103500,4,2
103751,男,-11335,高中/职高,有配偶,-440,核心员工,建筑,292500,2,0
103753,女,-21023,本科及以上,有配偶,-10211,核心员工,学校,157500,2,0
103769,女,-18228,高中/职高,有配偶,-491,安保人员,安保,63000,2,0
103770,女,-17885,高中/职高,有配偶,-1994,工人,公司类别3,270000,2,0
103793,女,-20817,高中/职高,有配偶,365243,,未知,81000,2,0
103795,男,-13753,高中/职高,有配偶,-4813,经理,公司类别3,135000,2,0
103804,女,-12261,高中/职高,有配偶,-4781,医务人员,医疗,112500,4,2
103806,男,-17594,高中/职高,有配偶,-491,司机,公司类别2,270000,2,0
103823,女,-21043,本科及以上,有配偶,-856,专业技术人员,幼教,247500,2,0
103866,男,-14794,高中/职高,有配偶,-1360,家政人员,服务业,382500,2,0
103877,女,-14553,高中/职高,丧偶,-5810,司机,贸易类别3,90000,3,2
103883,女,-17007,高中/职高,有配偶,-1569,销售人员,自由职业,103500,2,0
103910,女,-10097,高中/职高,有配偶,-2259,销售人员,自由职业,72000,4,2
103925,女,-9412,大学肄业,未婚,-1360,销售人员,公司类别3,67500,1,0
103930,男,-9055,高中/职高,未婚,-1532,,公司类别3,135000,2,1
103934,女,-22834,高中/职高,丧偶,365243,,未知,112500,1,0
103937,女,-21008,高中/职高,丧偶,365243,,未知,90000,1,0
103938,女,-12213,本科及以上,有配偶,-843,经理,物业,1350000,3,1
104032,男,-17901,高中/职高,有配偶,-1552,核心员工,贸易类别2,112500,2,0
104037,女,-10776,大学肄业,有配偶,-465,文职人员,政府部门,67500,4,2
104050,女,-16829,高中/职高,有配偶,-1154,工人,工业类别10,103500,2,0
104052,女,-20493,高中/职高,有配偶,365243,,未知,81000,2,0
104055,女,-24684,高中/职高,丧偶,365243,,未知,90000,1,0
104057,女,-22482,高中/职高,有配偶,365243,,未知,251325,2,0
104075,女,-20012,本科及以上,丧偶,365243,,未知,112500,1,0
104079,女,-16340,高中/职高,有配偶,-3253,家政人员,公司类别3,247500,2,0
104081,女,-10148,高中/职高,有配偶,-702,,医疗,157500,3,1
104097,女,-23134,高中/职高,有配偶,365243,,未知,157500,2,0
104102,女,-10468,本科及以上,有配偶,-826,,公司类别3,67500,2,0
104113,男,-18196,高中/职高,有配偶,-235,核心员工,建筑,315000,2,0
104116,女,-22881,高中/职高,有配偶,365243,,未知,65025,2,0
104152,女,-9907,高中/职高,有配偶,-2661,医务人员,医疗,270000,2,0
104185,女,-16358,本科及以上,有配偶,-3465,会计,公司类别3,112500,2,0
104191,女,-9221,高中/职高,有配偶,-1413,销售人员,自由职业,247500,4,2
104211,男,-14586,本科及以上,有配偶,-197,销售人员,公司类别3,112500,3,1
104213,女,-21505,高中/职高,民事婚姻,365243,,未知,81000,2,0
104217,女,-12085,高中/职高,有配偶,-1257,工人,公司类别3,180000,5,3
104219,男,-8483,大学肄业,未婚,-317,司机,公司类别3,180000,1,0
104224,女,-9026,高中/职高,有配偶,-594,销售人员,公司类别3,90000,2,0
104237,女,-11787,高中/职高,民事婚姻,-756,工人,政府部门,225000,3,1
104247,男,-16213,高中/职高,有配偶,-2772,,公共安全,225000,2,0
104261,女,-15089,高中/职高,民事婚姻,-98,工人,公司类别2,108000,3,1
104275,女,-20417,本科及以上,有配偶,365243,,未知,90000,2,0
104289,男,-14705,高中/职高,有配偶,-761,工人,公司类别3,225000,3,1
104291,男,-17546,高中/职高,未婚,365243,,未知,72000,1,0
104305,女,-20078,高中/职高,有配偶,-12205,工人,其他,90000,2,0
104315,女,-14422,高中/职高,有配偶,-1123,厨师,工业类别11,157500,2,0
104326,女,-13619,高中/职高,未婚,-743,销售人员,自由职业,112500,2,1
104333,男,-18664,本科及以上,有配偶,-6560,经理,餐饮,225000,4,2
104343,女,-19265,初中及以下,民事婚姻,365243,,未知,162000,2,0
104346,男,-22306,本科及以上,有配偶,-3199,会计,公司类别3,139500,2,0
104372,女,-21517,高中/职高,有配偶,365243,,未知,90000,2,0
104390,女,-19721,本科及以上,离异,-170,安保人员,物业,135000,1,0
104399,男,-10915,本科及以上,有配偶,-2656,经理,学校,270000,3,1
104429,男,-10624,高中/职高,未婚,-3327,,公司类别3,94500,1,0
104433,男,-22616,高中/职高,有配偶,365243,,未知,90000,2,0
104439,男,-13174,高中/职高,有配偶,-2901,工人,公司类别3,144000,2,0
104448,女,-22155,高中/职高,有配偶,-5265,清洁工,公司类别2,135000,2,0
104451,女,-19659,高中/职高,离异,365243,,未知,126000,1,0
104456,女,-16841,本科及以上,有配偶,-4007,会计,公司类别3,94500,3,1
104486,女,-21465,高中/职高,有配偶,365243,,未知,45000,2,0
104491,男,-17974,高中/职高,有配偶,-460,,公司类别3,121500,3,1
104508,女,-11941,高中/职高,有配偶,-2497,核心员工,工业类别12,135000,2,0
104511,女,-11517,高中/职高,有配偶,-3637,销售人员,自由职业,112500,4,2
104530,女,-19294,高中/职高,有配偶,-518,专业技术人员,公司类别3,112500,2,0
104537,男,-23238,高中/职高,有配偶,365243,,未知,130500,2,0
104543,男,-7877,高中/职高,未婚,-260,销售人员,自由职业,90000,1,0
104544,女,-21694,高中/职高,民事婚姻,365243,,未知,90000,2,0
104587,女,-12240,本科及以上,有配偶,-2576,销售人员,自由职业,112500,4,2
104607,女,-12733,高中/职高,有配偶,-2458,房产中介,公司类别3,202500,2,0
104612,女,-10343,本科及以上,有配偶,-2030,,建筑,135000,2,0
104628,女,-19606,高中/职高,有配偶,-922,,自由职业,58500,2,0
104663,男,-17470,高中/职高,有配偶,-2028,司机,医疗,193500,4,2
104707,女,-11373,初中及以下,离异,-196,,自由职业,202500,2,1
104727,女,-10908,高中/职高,有配偶,-2639,销售人员,公司类别3,382500,2,0
104753,女,-10449,高中/职高,民事婚姻,-1182,销售人员,自由职业,180000,6,4
104754,男,-12918,本科及以上,有配偶,-3010,工人,政府部门,112500,4,2
104757,女,-15233,高中/职高,有配偶,-3252,销售人员,自由职业,90000,2,0
104778,女,-18705,高中/职高,有配偶,-3620,会计,公司类别1,126000,2,0
104781,女,-14519,高中/职高,有配偶,-2497,厨师,医疗,121500,3,1
104800,男,-16511,高中/职高,有配偶,-1066,司机,交通类别4,175500,2,0
104804,女,-15970,高中/职高,有配偶,-2923,核心员工,学校,180000,4,2
104805,男,-10775,高中/职高,有配偶,-1586,工人,公司类别2,99000,3,1
104821,女,-17625,高中/职高,有配偶,-3826,医务人员,政府部门,148500,2,0
104846,男,-10822,高中/职高,有配偶,-3089,,交通类别4,216000,3,1
104864,男,-8137,高中/职高,离异,-1397,工人,公司类别3,157500,1,0
104915,女,-16596,高中/职高,有配偶,-1346,工人,公司类别3,157500,4,2
104938,女,-16351,高中/职高,有配偶,-6065,专业技术人员,工业类别2,76500,2,0
104950,女,-20908,高中/职高,民事婚姻,365243,,未知,180000,2,0
104951,女,-15962,高中/职高,有配偶,-559,销售人员,公司类别3,157500,3,1
104976,女,-16591,高中/职高,未婚,-2501,,公司类别2,90000,1,0
105016,女,-14209,本科及以上,有配偶,-1328,核心员工,公司类别1,202500,3,1
105022,女,-20070,高中/职高,民事婚姻,-305,会计,自由职业,85500,2,0
105038,女,-17507,高中/职高,有配偶,-2664,清洁工,幼教,180000,2,0
105057,女,-10302,本科及以上,有配偶,-2066,核心员工,贸易类别7,90000,3,1
105133,男,-21081,本科及以上,有配偶,365243,,未知,144000,2,0
105150,男,-9556,高中/职高,未婚,-1659,工人,交通类别4,180000,1,0
105155,女,-8423,高中/职高,未婚,-670,清洁工,大学,157500,1,0
105165,女,-11984,本科及以上,未婚,-196,销售人员,公司类别3,112500,1,0
105180,男,-14546,高中/职高,有配偶,-349,司机,其他,90000,2,0
105192,男,-18944,高中/职高,有配偶,-1687,工人,建筑,270000,2,0
105233,女,-23533,高中/职高,有配偶,365243,,未知,225000,2,0
105267,女,-20123,高中/职高,有配偶,365243,,未知,117000,2,0
105279,女,-19984,本科及以上,未婚,-917,,其他,157500,1,0
105289,女,-8964,大学肄业,有配偶,-2035,专业技术人员,交通类别2,112500,2,0
105300,女,-18075,高中/职高,有配偶,-835,核心员工,交通类别2,135000,2,0
105303,男,-12331,本科及以上,有配偶,-4071,专业技术人员,警察,193500,4,2
105306,男,-15770,高中/职高,有配偶,-4296,工人,公司类别3,202500,3,1
105312,女,-16703,本科及以上,有配偶,-3829,,自由职业,135000,3,1
105347,女,-12212,高中/职高,有配偶,-1931,工人,自由职业,76500,2,0
105392,男,-23643,初中及以下,有配偶,365243,,未知,193500,2,0
105398,女,-11223,高中/职高,未婚,-374,销售人员,自由职业,135000,2,1
105405,女,-19164,本科及以上,有配偶,-12434,工人,交通类别2,166500,2,0
105426,男,-13072,高中/职高,有配偶,-2938,工人,贸易类别7,112500,3,1
105436,女,-19341,高中/职高,有配偶,-961,,公司类别3,135000,2,0
105442,男,-20193,本科及以上,有配偶,-1169,专业技术人员,公司类别3,450000,2,0
105472,女,-18916,高中/职高,未婚,365243,,未知,126000,1,0
105484,女,-11736,高中/职高,有配偶,-1469,房产中介,服务业,135000,3,1
105490,女,-11989,本科及以上,未婚,-4443,核心员工,政府部门,225000,1,0
105510,女,-10054,本科及以上,民事婚姻,-167,经理,公司类别3,76500,2,0
105512,女,-21809,高中/职高,有配偶,-1118,厨师,自由职业,270000,2,0
105525,女,-14925,高中/职高,民事婚姻,-7826,工人,公司类别1,112500,2,0
105549,女,-17569,高中/职高,有配偶,-329,工人,贸易类别2,126000,2,0
